author first name | 
author last name | Aesop
author full name |  Aesop
author formal name | Aesop, 
book title | Aesop's Fables
Section|3|Fiction/Children
Chapter Count|82
The Cock and the Pearl||| Aesop ~ Aesop's Fables ~ 1.dat
The Wolf and the Lamb||| Aesop ~ Aesop's Fables ~ 2.dat
The Dog and the Shadow||| Aesop ~ Aesop's Fables ~ 3.dat
The Lion's Share||| Aesop ~ Aesop's Fables ~ 4.dat
The Wolf and the Crane||| Aesop ~ Aesop's Fables ~ 5.dat
The Man and the Serpent||| Aesop ~ Aesop's Fables ~ 6.dat
The Town Mouse and the Country Mouse||| Aesop ~ Aesop's Fables ~ 7.dat
The Fox and the Crow||| Aesop ~ Aesop's Fables ~ 8.dat
The Sick Lion||| Aesop ~ Aesop's Fables ~ 9.dat
The Ass and the Lapdog||| Aesop ~ Aesop's Fables ~ 10.dat
The Lion and the Mouse||| Aesop ~ Aesop's Fables ~ 11.dat
The Swallow and the Other Birds||| Aesop ~ Aesop's Fables ~ 12.dat
The Frogs Desiring a King||| Aesop ~ Aesop's Fables ~ 13.dat
The Mountains in Labour||| Aesop ~ Aesop's Fables ~ 14.dat
The Hares and the Frogs||| Aesop ~ Aesop's Fables ~ 15.dat
The Wolf and the Kid||| Aesop ~ Aesop's Fables ~ 16.dat
The Woodman and the Serpent||| Aesop ~ Aesop's Fables ~ 17.dat
The Bald Man and the Fly||| Aesop ~ Aesop's Fables ~ 18.dat
The Fox and the Stork||| Aesop ~ Aesop's Fables ~ 19.dat
The Fox and the Mask||| Aesop ~ Aesop's Fables ~ 20.dat
The Jay and the Peacock||| Aesop ~ Aesop's Fables ~ 21.dat
The Frog and the Ox||| Aesop ~ Aesop's Fables ~ 22.dat
Androcles||| Aesop ~ Aesop's Fables ~ 23.dat
The Bat, the Birds, and the Beasts||| Aesop ~ Aesop's Fables ~ 24.dat
The Hart and the Hunter||| Aesop ~ Aesop's Fables ~ 25.dat
The Serpent and the File||| Aesop ~ Aesop's Fables ~ 26.dat
The Man and the Wood||| Aesop ~ Aesop's Fables ~ 27.dat
The Dog and the Wolf||| Aesop ~ Aesop's Fables ~ 28.dat
The Belly and the Members||| Aesop ~ Aesop's Fables ~ 29.dat
The Hart in the Ox-Stall||| Aesop ~ Aesop's Fables ~ 30.dat
The Fox and the Grapes||| Aesop ~ Aesop's Fables ~ 31.dat
The Horse, Hunter, and Stag||| Aesop ~ Aesop's Fables ~ 32.dat
The Peacock and Juno||| Aesop ~ Aesop's Fables ~ 33.dat
