book title|Categories, The
author first name | 
author last name | Aristotle
author full name |  Aristotle
author formal name | Aristotle, 
Section|8|Plays/Classical
Chapter Count|15
Part 1||Section 1| Aristotle ~ Categories, The ~ 1.dat
Part 2||Section 1| Aristotle ~ Categories, The ~ 2.dat
Part 3||Section 1| Aristotle ~ Categories, The ~ 3.dat
Part 4||Section 1| Aristotle ~ Categories, The ~ 4.dat
Part 5||Section 1| Aristotle ~ Categories, The ~ 5.dat
Part 6||Section 1| Aristotle ~ Categories, The ~ 6.dat
Part 7||Section 2| Aristotle ~ Categories, The ~ 7.dat
Part 8||Section 2| Aristotle ~ Categories, The ~ 8.dat
Part 9||Section 3| Aristotle ~ Categories, The ~ 9.dat
Part 10||Section 3| Aristotle ~ Categories, The ~ 10.dat
Part 11||Section 3| Aristotle ~ Categories, The ~ 11.dat
Part 12||Section 3| Aristotle ~ Categories, The ~ 12.dat
Part 13||Section 3| Aristotle ~ Categories, The ~ 13.dat
Part 14||Section 3| Aristotle ~ Categories, The ~ 14.dat
Part 15||Section 3| Aristotle ~ Categories, The ~ 15.dat
