book title|Gold Hunters, The
author first name | Andy
author last name | Adams
author full name | Andy Adams
author formal name | Adams, Andy
Section|10|Fiction/Westerns
Chapter Count|18
Chapter I. The Pursuit of the Hudson Bay Mail|||Andy Adams ~ Gold Hunters, The ~ 1.dat
Chapter II. Minnetaki in the Hands of the Outlaws|||Andy Adams ~ Gold Hunters, The ~ 2.dat
Chapter III. On the Trail of the Woongas|||Andy Adams ~ Gold Hunters, The ~ 3.dat
Chapter IV. Rod Follows the Man-footed Bear|||Andy Adams ~ Gold Hunters, The ~ 4.dat
Chapter V. Rod's Fight for Life|||Andy Adams ~ Gold Hunters, The ~ 5.dat
Chapter VI. The Shadow of Death|||Andy Adams ~ Gold Hunters, The ~ 6.dat
Chapter VII. On the Trail of Gold|||Andy Adams ~ Gold Hunters, The ~ 7.dat
Chapter VIII. The Yellow Bullet|||Andy Adams ~ Gold Hunters, The ~ 8.dat
Chapter IX. Up the Ombabika|||Andy Adams ~ Gold Hunters, The ~ 9.dat
Chapter X. The Mysterious Shot|||Andy Adams ~ Gold Hunters, The ~ 10.dat
Chapter XI. The Cry in the Chasm|||Andy Adams ~ Gold Hunters, The ~ 11.dat
Chapter XII. Wabi Makes a Strange Discovery|||Andy Adams ~ Gold Hunters, The ~ 12.dat
Chapter XIII. The Third Waterfall|||Andy Adams ~ Gold Hunters, The ~ 13.dat
Chapter XIV. The Paper in the Old Tin Box|||Andy Adams ~ Gold Hunters, The ~ 14.dat
Chapter XV. The Treasure in the Pool|||Andy Adams ~ Gold Hunters, The ~ 15.dat
Chapter XVI. John Ball and the Mystery of the Gold|||Andy Adams ~ Gold Hunters, The ~ 16.dat
Chapter XVII. In a Subterranean World|||Andy Adams ~ Gold Hunters, The ~ 17.dat
Chapter XVIII. John Ball's Story|||Andy Adams ~ Gold Hunters, The ~ 18.dat
