author first name | Andy
author last name | Adams
author full name | Andy Adams
author formal name | Adams, Andy
book title | Log of a Cowboy, The
Section|10|Fiction/Westerns
Chapter Count|24
Chapter I. Up the Trail|||Andy Adams ~ Log of a Cowboy, The ~ 1.dat
Chapter II. Receiving|||Andy Adams ~ Log of a Cowboy, The ~ 2.dat
Chapter III. The Start|||Andy Adams ~ Log of a Cowboy, The ~ 3.dat
Chapter IV. The Atascosa|||Andy Adams ~ Log of a Cowboy, The ~ 4.dat
Chapter V. A Dry Drive|||Andy Adams ~ Log of a Cowboy, The ~ 5.dat
Chapter VI. A Reminiscent Night|||Andy Adams ~ Log of a Cowboy, The ~ 6.dat
Chapter VII. The Colorado|||Andy Adams ~ Log of a Cowboy, The ~ 7.dat
Chapter VIII. On the Brazos and Wichita|||Andy Adams ~ Log of a Cowboy, The ~ 8.dat
Chapter IX. Doan's Crossing|||Andy Adams ~ Log of a Cowboy, The ~ 9.dat
Chapter X. "No Man's Land"|||Andy Adams ~ Log of a Cowboy, The ~ 10.dat
Chapter XI. A Boggy Ford|||Andy Adams ~ Log of a Cowboy, The ~ 11.dat
Chapter XII. The North Fork|||Andy Adams ~ Log of a Cowboy, The ~ 12.dat
Chapter XIII. Dodge|||Andy Adams ~ Log of a Cowboy, The ~ 13.dat
Chapter XIV. Slaughter's Bridge|||Andy Adams ~ Log of a Cowboy, The ~ 14.dat
Chapter XV. The Beaver|||Andy Adams ~ Log of a Cowboy, The ~ 15.dat
Chapter XVI. The Republican|||Andy Adams ~ Log of a Cowboy, The ~ 16.dat
Chapter XVII. Ogalalla|||Andy Adams ~ Log of a Cowboy, The ~ 17.dat
Chapter XVIII. The North Platte|||Andy Adams ~ Log of a Cowboy, The ~ 18.dat
Chapter XIX. Forty Islands Ford|||Andy Adams ~ Log of a Cowboy, The ~ 19.dat
Chapter XX. A Moonlight Drive|||Andy Adams ~ Log of a Cowboy, The ~ 20.dat
Chapter XXI. The Yellowstone|||Andy Adams ~ Log of a Cowboy, The ~ 21.dat
Chapter XXII. Our Last Camp-Fire|||Andy Adams ~ Log of a Cowboy, The ~ 22.dat
Chapter XXIII. Delivery|||Andy Adams ~ Log of a Cowboy, The ~ 23.dat
Chapter XXIV. Back to Texas|||Andy Adams ~ Log of a Cowboy, The ~ 24.dat
