author first name | Andy
author last name | Adams
author full name | Andy Adams
author formal name | Adams, Andy
book title | Outlet, The
Section|10|Fiction/Westerns
Chapter Count|25
Preface|||Andy Adams ~ Outlet, The ~ 1.dat
Chapter I. Opening the Campaign|||Andy Adams ~ Outlet, The ~ 2.dat
Chapter II. Organizing the Forces|||Andy Adams ~ Outlet, The ~ 3.dat
Chapter III. Receiving at Los Lobos|||Andy Adams ~ Outlet, The ~ 4.dat
Chapter IV. Mingling with the Exodus|||Andy Adams ~ Outlet, The ~ 5.dat
Chapter V. Red River Station|||Andy Adams ~ Outlet, The ~ 6.dat
Chapter VI. Camp Supply|||Andy Adams ~ Outlet, The ~ 7.dat
Chapter VII. When Greek Meets Greek|||Andy Adams ~ Outlet, The ~ 8.dat
Chapter VIII. En Passant|||Andy Adams ~ Outlet, The ~ 9.dat
Chapter IX. At Sheriff's Creek|||Andy Adams ~ Outlet, The ~ 10.dat
Chapter X. A Family Reunion|||Andy Adams ~ Outlet, The ~ 11.dat
Chapter XI. All in the Day's Work|||Andy Adams ~ Outlet, The ~ 12.dat
Chapter XII. Marshaling the Forces|||Andy Adams ~ Outlet, The ~ 13.dat
Chapter XIII. Justice in the Saddle|||Andy Adams ~ Outlet, The ~ 14.dat
Chapter XIV. Turning the Tables|||Andy Adams ~ Outlet, The ~ 15.dat
Chapter XV. Tolleston Butts In|||Andy Adams ~ Outlet, The ~ 16.dat
Chapter XVI. Crossing the Niobrara|||Andy Adams ~ Outlet, The ~ 17.dat
Chapter XVII. Water-Bound|||Andy Adams ~ Outlet, The ~ 18.dat
Chapter XVIII. The Little Missouri|||Andy Adams ~ Outlet, The ~ 19.dat
Chapter XIX. In Quarantine|||Andy Adams ~ Outlet, The ~ 20.dat
Chapter XX. On the Just and the Unjust|||Andy Adams ~ Outlet, The ~ 21.dat
Chapter XXI. Fort Buford|||Andy Adams ~ Outlet, The ~ 22.dat
Chapter XXII. A Soldier's Honor|||Andy Adams ~ Outlet, The ~ 23.dat
Chapter XXIII. Kangarooed|||Andy Adams ~ Outlet, The ~ 24.dat
Chapter XXIV. The Winter of our Discontent|||Andy Adams ~ Outlet, The ~ 25.dat
