book title|Son of a Hero
author first name | Andy
author last name | Adams
author full name | Andy Adams
author formal name | Adams, Andy
Section|10|Fiction/Westerns
Chapter Count|15
Editor's Preface|||Andy Adams ~ Son of a Hero ~ 1.dat
Chapter I. Son of a Hero|||Andy Adams ~ Son of a Hero ~ 2.dat
Chapter II. The Amateur Pirates|||Andy Adams ~ Son of a Hero ~ 3.dat
Chapter III. The Frozen Ship|||Andy Adams ~ Son of a Hero ~ 4.dat
Chapter IV. Captain Kidd of the Underground|||Andy Adams ~ Son of a Hero ~ 5.dat
Chapter V. The Last Moment|||Andy Adams ~ Son of a Hero ~ 6.dat
Chapter VI. The Law of the Lakes|||Andy Adams ~ Son of a Hero ~ 7.dat
Chapter VII. The Piratical Lover of Tow Number Two|||Andy Adams ~ Son of a Hero ~ 8.dat
Chapter VIII. The Fish Pirates|||Andy Adams ~ Son of a Hero ~ 9.dat
Chapter IX. The Object Lesson|||Andy Adams ~ Son of a Hero ~ 10.dat
Chapter X. The Captain of the Christopher Duggan|||Andy Adams ~ Son of a Hero ~ 11.dat
Chapter XI. The Lake Breed|||Andy Adams ~ Son of a Hero ~ 12.dat
Chapter XII. Lochinvar of the Lakes|||Andy Adams ~ Son of a Hero ~ 13.dat
Chapter XIII. Salvage|||Andy Adams ~ Son of a Hero ~ 14.dat
Chapter XIV. Jim Falkner Pirate|||Andy Adams ~ Son of a Hero ~ 15.dat
