author first name | Andy
author last name | Adams
author full name | Andy Adams
author formal name | Adams, Andy
book title | Wells Brothers
Section|10|Fiction/Westerns
Chapter Count|22
Chapter I. Waifs of the Plain|||Andy Adams ~ Wells Brothers ~ 1.dat
Chapter II. The Hospital on the Beaver|||Andy Adams ~ Wells Brothers ~ 2.dat
Chapter III. The Bottom Rung|||Andy Adams ~ Wells Brothers ~ 3.dat
Chapter IV. The Brothers Claim a Range|||Andy Adams ~ Wells Brothers ~ 4.dat
Chapter V. A Fall of Crumbs|||Andy Adams ~ Wells Brothers ~ 5.dat
Chapter VI. Sunshine and Shadow|||Andy Adams ~ Wells Brothers ~ 6.dat
Chapter VII. All in the Day's Work|||Andy Adams ~ Wells Brothers ~ 7.dat
Chapter VIII. The Lines of Intrenchment|||Andy Adams ~ Wells Brothers ~ 8.dat
Chapter IX. A Wintry Crucible|||Andy Adams ~ Wells Brothers ~ 9.dat
Chapter X. Good Fighting|||Andy Adams ~ Wells Brothers ~ 10.dat
Chapter XI. Holding the Fort|||Andy Adams ~ Wells Brothers ~ 11.dat
Chapter XII. A Winter Drift|||Andy Adams ~ Wells Brothers ~ 12.dat
Chapter XIII. A Welcome Guest|||Andy Adams ~ Wells Brothers ~ 13.dat
Chapter XIV. An Ill Wind|||Andy Adams ~ Wells Brothers ~ 14.dat
Chapter XV. Water! Water!|||Andy Adams ~ Wells Brothers ~ 15.dat
Chapter XVI. A Protected Credit|||Andy Adams ~ Wells Brothers ~ 16.dat
Chapter XVII. "The Wagon"|||Andy Adams ~ Wells Brothers ~ 17.dat
Chapter XVIII. An Open Winter|||Andy Adams ~ Wells Brothers ~ 18.dat
Chapter XIX. An Indian Scare|||Andy Adams ~ Wells Brothers ~ 19.dat
Chapter XX. Harvest on the Range|||Andy Adams ~ Wells Brothers ~ 20.dat
Chapter XXI. Living in the Saddle|||Andy Adams ~ Wells Brothers ~ 21.dat
Chapter XXII. Independence|||Andy Adams ~ Wells Brothers ~ 22.dat
