book title|Wolf Hunters, The
author first name | Andy
author last name | Adams
author full name | Andy Adams
author formal name | Adams, Andy
Section|10|Fiction/Westerns
Chapter Count|16
Chapter I. The Fight in the Forest|||Andy Adams ~ Wolf Hunters, The ~ 1.dat
Chapter II. How Wabigoon Became a White Man|||Andy Adams ~ Wolf Hunters, The ~ 2.dat
Chapter III. Roderick Sees the Footprint|||Andy Adams ~ Wolf Hunters, The ~ 3.dat
Chapter IV. Roderick's First Taste of the Hunter's Life|||Andy Adams ~ Wolf Hunters, The ~ 4.dat
Chapter V. Mysterious Shots in the Wilderness|||Andy Adams ~ Wolf Hunters, The ~ 5.dat
Chapter VI. Mukoki Disturbs the Ancient Skeletons|||Andy Adams ~ Wolf Hunters, The ~ 6.dat
Chapter VII. Roderick Discovers the Buckskin Bag|||Andy Adams ~ Wolf Hunters, The ~ 7.dat
Chapter VIII. How Wolf Became the Companion of Men|||Andy Adams ~ Wolf Hunters, The ~ 8.dat
Chapter IX. Wolf Takes Vengeance Upon His People|||Andy Adams ~ Wolf Hunters, The ~ 9.dat
Chapter X. Roderick Explores the Chasm|||Andy Adams ~ Wolf Hunters, The ~ 10.dat
Chapter XI. Roderick's Dream|||Andy Adams ~ Wolf Hunters, The ~ 11.dat
Chapter XII. The Secret of the Skeleton's Hand|||Andy Adams ~ Wolf Hunters, The ~ 12.dat
Chapter XIII. Snowed in|||Andy Adams ~ Wolf Hunters, The ~ 13.dat
Chapter XIV. The Rescue of Wabigoon|||Andy Adams ~ Wolf Hunters, The ~ 14.dat
Chapter XV. Roderick Holds the Woongas At Bay|||Andy Adams ~ Wolf Hunters, The ~ 15.dat
Chapter XVI. The Surprise At the Post|||Andy Adams ~ Wolf Hunters, The ~ 16.dat
