book title|Senator North
author first name | Gertrude Franklin Horn
author last name | Atherton
author full name | Gertrude Franklin Horn Atherton
author formal name | Atherton, Gertrude Franklin Horn
Section|13|Fiction/Historical
Chapter Count|66
Chapter I||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 1.dat
Chapter II||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 2.dat
Chapter III||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 3.dat
Chapter IV||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 4.dat
Chapter V||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 5.dat
Chapter VI||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 6.dat
Chapter VII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 7.dat
Chapter VIII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 8.dat
Chapter IX||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 9.dat
Chapter X||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 10.dat
Chapter XI||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 11.dat
Chapter XII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 12.dat
Chapter XIII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 13.dat
Chapter XIV||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 14.dat
Chapter XV||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 15.dat
Chapter XVI||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 16.dat
Chapter XVII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 17.dat
Chapter XVIII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 18.dat
Chapter XIX||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 19.dat
Chapter XX||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 20.dat
Chapter XXI||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 21.dat
Chapter XXII||Part I|Gertrude Franklin Horn Atherton ~ Senator North ~ 22.dat
Chapter I||Part II|Gertrude Franklin Horn Atherton ~ Senator North ~ 23.dat
