book title|Michael's Crag
author first name | Grant
author last name | Allen
author full name | Grant Allen
author formal name | Allen, Grant
Section|13|Fiction/Historical
Chapter Count|15
Chapter I. A Cornish Landlord.|||Grant Allen ~ Michael's Crag ~ 1.dat
Chapter II. Trevennack.|||Grant Allen ~ Michael's Crag ~ 2.dat
Chapter III. Face to Face.|||Grant Allen ~ Michael's Crag ~ 3.dat
Chapter IV. Tyrrel's Remorse.|||Grant Allen ~ Michael's Crag ~ 4.dat
Chapter V. A Strange Delusion.|||Grant Allen ~ Michael's Crag ~ 5.dat
Chapter VI. Pure Accident.|||Grant Allen ~ Michael's Crag ~ 6.dat
Chapter VII. Peril by Land.|||Grant Allen ~ Michael's Crag ~ 7.dat
Chapter VIII. Safe at Last.|||Grant Allen ~ Michael's Crag ~ 8.dat
Chapter IX. Medical Opinion.|||Grant Allen ~ Michael's Crag ~ 9.dat
Chapter X. A Bold Attempt.|||Grant Allen ~ Michael's Crag ~ 10.dat
Chapter XI. Business is Business.|||Grant Allen ~ Michael's Crag ~ 11.dat
Chapter XII. A Hard Bargain.|||Grant Allen ~ Michael's Crag ~ 12.dat
Chapter XIII. Angel and Devil.|||Grant Allen ~ Michael's Crag ~ 13.dat
Chapter XIV. At Arm's Length.|||Grant Allen ~ Michael's Crag ~ 14.dat
Chapter XV. St. Michael Does Battle.|||Grant Allen ~ Michael's Crag ~ 15.dat
