book title|Andy Grant's Pluck
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|37
Chapter I. The Telegram.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 1.dat
Chapter II. Squire Carter.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 2.dat
Chapter III. Andy Leaves The Academy.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 3.dat
Chapter IV. Preparing For The Picnic.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 4.dat
Chapter V. The Boat Race.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 5.dat
Chapter VI. A Liberal Offer.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 6.dat
Chapter VII. An Encounter With a Tramp.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 7.dat
Chapter VIII. A Moment Of Danger.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 8.dat
Chapter IX. Conrad's Scheme.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 9.dat
Chapter X. The Tramp's Mistake.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 10.dat
Chapter XI. Conrad's Disappointment.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 11.dat
Chapter XII. Something Unexpected.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 12.dat
Chapter XIII. Andy Leaves Home.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 13.dat
Chapter XIV. The First Day In New York.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 14.dat
Chapter XV. Andy's Opposite Neighbor.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 15.dat
Chapter XVI. Andy At Work.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 16.dat
Chapter XVII. Andy's Fellow Boarders.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 17.dat
Chapter XVIII. A Plot Against Andy.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 18.dat
Chapter XIX. Andy Is Discharged.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 19.dat
Chapter XX. An Invitation To Dinner.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 20.dat
Chapter XXI. New Prospects.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 21.dat
Chapter XXII. John Crandall Seeks To Injure Andy.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 22.dat
Chapter XXIII. Mr. Flint's Return.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 23.dat
Chapter XXIV. Andy Makes An Investment.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 24.dat
Chapter XXV. Squire Carter's Relatives.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 25.dat
Chapter XXVI. Mr. Warren And His Success.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 26.dat
Chapter XXVII. Andy Makes A Commission.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 27.dat
Chapter XXVIII. Andy's Visit Home.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 28.dat
Chapter XXIX. The Interest Is Paid.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 29.dat
Chapter XXX. An Unexpected Proposal.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 30.dat
Chapter XXXI. The Trap.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 31.dat
Chapter XXXII. A Critical Moment.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 32.dat
Chapter XXXIII. A Sudden Tragedy.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 33.dat
Chapter XXXIV. Seth Johnson's Gift.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 34.dat
Chapter XXXV. The Return of an Old Friend.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 35.dat
Chapter XXXVI. Sad Forebodings.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 36.dat
Chapter XXXVII. Conclusion.|||Horatio Alger Jr. ~ Andy Grant's Pluck ~ 37.dat
