book title|Bound to Rise
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|36
Biography and Bibliography|||Horatio Alger Jr. ~ Bound to Rise ~ 0.dat
CHAPTER I. |||Horatio Alger Jr. ~ Bound to Rise ~ 1.dat
CHAPTER II. A Calamity|||Horatio Alger Jr. ~ Bound to Rise ~ 2.dat
CHAPTER III. Hiram's Motto|||Horatio Alger Jr. ~ Bound to Rise ~ 3.dat
CHAPTER IV. A Sum In Arithmetic|||Horatio Alger Jr. ~ Bound to Rise ~ 4.dat
CHAPTER V. The Prize Winner|||Horatio Alger Jr. ~ Bound to Rise ~ 5.dat
Chapter VI. Looking Out On The World|||Horatio Alger Jr. ~ Bound to Rise ~ 6.dat
CHAPTER VII. In Franklin's Footsteps|||Horatio Alger Jr. ~ Bound to Rise ~ 7.dat
CHAPTER VIII. Harry's Decision|||Horatio Alger Jr. ~ Bound to Rise ~ 8.dat
CHAPTER IX. Leaving Home|||Horatio Alger Jr. ~ Bound to Rise ~ 9.dat
CHAPTER X. The General|||Horatio Alger Jr. ~ Bound to Rise ~ 10.dat
CHAPTER XI. In Search Of Work|||Horatio Alger Jr. ~ Bound to Rise ~ 11.dat
CHAPTER XII. The New Boarder|||Horatio Alger Jr. ~ Bound to Rise ~ 12.dat
CHAPTER XIII. An Invitation Declined|||Horatio Alger Jr. ~ Bound to Rise ~ 13.dat
CHAPTER XIV. The Tailor's Customer|||Horatio Alger Jr. ~ Bound to Rise ~ 14.dat
CHAPTER XV. "by Express"|||Horatio Alger Jr. ~ Bound to Rise ~ 15.dat
CHAPTER XVI. Asking A Favor|||Horatio Alger Jr. ~ Bound to Rise ~ 16.dat
CHAPTER XVII. The Night Scholars|||Horatio Alger Jr. ~ Bound to Rise ~ 17.dat
CHAPTER XVIII. Lost, Or Stolen|||Horatio Alger Jr. ~ Bound to Rise ~ 18.dat
CHAPTER XIX. An Unwelcome Visitor|||Horatio Alger Jr. ~ Bound to Rise ~ 19.dat
CHAPTER XX. |||Horatio Alger Jr. ~ Bound to Rise ~ 20.dat
CHAPTER XXI. In The Tailor's Power|||Horatio Alger Jr. ~ Bound to Rise ~ 21.dat
CHAPTER XXII. The Coming Of The Magician|||Horatio Alger Jr. ~ Bound to Rise ~ 22.dat
CHAPTER XXIII. The Ventriloquist|||Horatio Alger Jr. ~ Bound to Rise ~ 23.dat
CHAPTER XXIV. Harry's Letter|||Horatio Alger Jr. ~ Bound to Rise ~ 24.dat
CHAPTER XXV. A Strange Companion|||Horatio Alger Jr. ~ Bound to Rise ~ 25.dat
CHAPTER XXVI. Pages From The Past|||Horatio Alger Jr. ~ Bound to Rise ~ 26.dat
CHAPTER XXVII. A Mystifying Performance|||Horatio Alger Jr. ~ Bound to Rise ~ 27.dat
CHAPTER XXVIII. An Unexpected Payment|||Horatio Alger Jr. ~ Bound to Rise ~ 28.dat
CHAPTER XXIX. In The Printing Office|||Horatio Alger Jr. ~ Bound to Rise ~ 29.dat
CHAPTER XXX. The Young Treasurer|||Horatio Alger Jr. ~ Bound to Rise ~ 30.dat
CHAPTER XXXI. |||Horatio Alger Jr. ~ Bound to Rise ~ 31.dat
CHAPTER XXXII. The Good Samaritan|||Horatio Alger Jr. ~ Bound to Rise ~ 32.dat
CHAPTER XXXIII. The Reward Of Fidelity|||Horatio Alger Jr. ~ Bound to Rise ~ 33.dat
CHAPTER XXXIV. In Difficulty|||Horatio Alger Jr. ~ Bound to Rise ~ 34.dat
CHAPTER XXXV. Settled|||Horatio Alger Jr. ~ Bound to Rise ~ 35.dat
