author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Cash Boy, The
Section|3|Fiction/Children
Chapter Count|23
Preface|||Horatio Alger Jr. ~ Cash Boy, The ~ 1.dat
Chapter I. A Revelation|||Horatio Alger Jr. ~ Cash Boy, The ~ 2.dat
Chapter II. Mrs. Fowler's Story|||Horatio Alger Jr. ~ Cash Boy, The ~ 3.dat
Chapter III. Left Alone|||Horatio Alger Jr. ~ Cash Boy, The ~ 4.dat
Chapter IV. The Town Autocrat|||Horatio Alger Jr. ~ Cash Boy, The ~ 5.dat
Chapter V. A Little Misunderstanding|||Horatio Alger Jr. ~ Cash Boy, The ~ 6.dat
Chapter VI. Frank Gets a Place|||Horatio Alger Jr. ~ Cash Boy, The ~ 7.dat
Chapter VII. The Cash Boy has an Adventure|||Horatio Alger Jr. ~ Cash Boy, The ~ 8.dat
Chapter VIII. An Unexpected Engagement|||Horatio Alger Jr. ~ Cash Boy, The ~ 9.dat
Chapter IX. The Housekeeper's Nephew|||Horatio Alger Jr. ~ Cash Boy, The ~ 10.dat
Chapter X. The Housekeeper Scheming|||Horatio Alger Jr. ~ Cash Boy, The ~ 11.dat
Chapter XI. John Wade|||Horatio Alger Jr. ~ Cash Boy, The ~ 12.dat
Chapter XII. A False Friend|||Horatio Alger Jr. ~ Cash Boy, The ~ 13.dat
Chapter XIII. The Spider and the Fly|||Horatio Alger Jr. ~ Cash Boy, The ~ 14.dat
Chapter XIV. Springing the Trap|||Horatio Alger Jr. ~ Cash Boy, The ~ 15.dat
Chapter XV. From Bad to Worse|||Horatio Alger Jr. ~ Cash Boy, The ~ 16.dat
Chapter XVI. An Accomplice Found|||Horatio Alger Jr. ~ Cash Boy, The ~ 17.dat
Chapter XVII. Frank and His Jailer|||Horatio Alger Jr. ~ Cash Boy, The ~ 18.dat
Chapter XVIII. "Over the Hill to the Poorhouse"|||Horatio Alger Jr. ~ Cash Boy, The ~ 19.dat
Chapter XIX. What Frank Heard Through the Crevice|||Horatio Alger Jr. ~ Cash Boy, The ~ 20.dat
Chapter XX. The Escape|||Horatio Alger Jr. ~ Cash Boy, The ~ 21.dat
Chapter XXI. John Wade's Disappointment|||Horatio Alger Jr. ~ Cash Boy, The ~ 22.dat
Chapter XXII. Conclusion|||Horatio Alger Jr. ~ Cash Boy, The ~ 23.dat
