author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Cast Upon the Breakers
Section|3|Fiction/Children
Chapter Count|37
Chapter I. A Faithless Guardian.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 1.dat
Chapter II. The Casket of Jewels.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 2.dat
Chapter III. A Strange Disappearance.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 3.dat
Chapter IV. In Pursuit of a Thief.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 4.dat
Chapter V. A Young Financial Wreck.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 5.dat
Chapter VI. An Impudent Adventurer.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 6.dat
Chapter VII. At the Newsboy's Lodging House.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 7.dat
Chapter VIII. Rodney Finds a Place.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 8.dat
Chapter IX. The First Day at Work.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 9.dat
Chapter X. Mike Puts on a Uniform.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 10.dat
Chapter XI. Missing Goods.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 11.dat
Chapter XII. What was Found in Rodney's Room.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 12.dat
Chapter XIII. Charged with Theft.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 13.dat
Chapter XIV. Rodney is Discharged.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 14.dat
Chapter XV. A Rich Find.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 15.dat
Chapter XVI. A Surprising Turn of Fortune.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 16.dat
Chapter XVII. Jasper's Perplexity.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 17.dat
Chapter XVIII. Rodney's Secret is Discovered.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 18.dat
Chapter XIX. Jasper's Revenge|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 19.dat
Chapter XX. Rodney Loses His Pupil.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 20.dat
Chapter XXI. Continued Ill Luck.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 21.dat
Chapter XXII. An Old Acquaintance Turns Up.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 22.dat
Chapter XXIII. Mr. Wheeler Has a Set Back.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 23.dat
Chapter XXIV. A Change of Scene.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 24.dat
Chapter XXV. Jefferson Pettigrew's Home.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 25.dat
Chapter XXVI. The Boy Capitalist.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 26.dat
Chapter XXVII. The Failure of Squire Sheldon's Plot.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 27.dat
Chapter XXVIII. A Minister's Good Fortune.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 28.dat
Chapter XXIX. A Mining Town in Montana.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 29.dat
Chapter XXX. The Mysterious Robbery.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 30.dat
Chapter XXXI. Mr. Wheeler Explains.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 31.dat
Chapter XXXII. Rodney Falls Into a Trap.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 32.dat
Chapter XXXIII. Underground.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 33.dat
Chapter XXXIV. Rodney's Discovery.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 34.dat
Chapter XXXV. A Bloody Conflict.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 35.dat
Chapter XXXVI. The Rodney Mine.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 36.dat
Chapter XXXXVII. Conclusion.|||Horatio Alger Jr. ~ Cast Upon the Breakers ~ 37.dat
