book title|Do and Dare
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|38
Chapter I. The Post Office at Wayneboro.|||Horatio Alger Jr. ~ Do and Dare ~ 1.dat
Chapter II. Herbert's Chance.|||Horatio Alger Jr. ~ Do and Dare ~ 2.dat
Chapter III. A Prodigal Son.|||Horatio Alger Jr. ~ Do and Dare ~ 3.dat
Chapter IV. Herbert Loses His Place.|||Horatio Alger Jr. ~ Do and Dare ~ 4.dat
Chapter V. Eben's Scheme.|||Horatio Alger Jr. ~ Do and Dare ~ 5.dat
Chapter VI. Herbert's Good Luck.|||Horatio Alger Jr. ~ Do and Dare ~ 6.dat
Chapter VII. Eben Grows Envious.|||Horatio Alger Jr. ~ Do and Dare ~ 7.dat
Chapter VIII. Eben's Assurance.|||Horatio Alger Jr. ~ Do and Dare ~ 8.dat
Chapter IX. The Solitary Farmhouse.|||Horatio Alger Jr. ~ Do and Dare ~ 9.dat
Chapter X. An Exciting Scene.|||Horatio Alger Jr. ~ Do and Dare ~ 10.dat
Chapter XI. Tried for Theft.|||Horatio Alger Jr. ~ Do and Dare ~ 11.dat
Chapter XII. Eben's Trump Card.|||Horatio Alger Jr. ~ Do and Dare ~ 12.dat
Chapter XIII. Eben's Last Hope Fails.|||Horatio Alger Jr. ~ Do and Dare ~ 13.dat
Chapter XIV. A Trip to Boston.|||Horatio Alger Jr. ~ Do and Dare ~ 14.dat
Chapter XV. An Obliging Guide.|||Horatio Alger Jr. ~ Do and Dare ~ 15.dat
Chapter XVI. A New Battle of Bunker Hill.|||Horatio Alger Jr. ~ Do and Dare ~ 16.dat
Chapter XVII. An Acceptable Present.|||Horatio Alger Jr. ~ Do and Dare ~ 17.dat
Chapter XVIII. A Thief in Trouble.|||Horatio Alger Jr. ~ Do and Dare ~ 18.dat
Chapter XIX. Ebenezer Graham's Grief.|||Horatio Alger Jr. ~ Do and Dare ~ 19.dat
Chapter XX. An Old Acquaintance in Chicago.|||Horatio Alger Jr. ~ Do and Dare ~ 20.dat
Chapter XXI. Col. Warner.|||Horatio Alger Jr. ~ Do and Dare ~ 21.dat
Chapter XXII. A Mountain Stage.|||Horatio Alger Jr. ~ Do and Dare ~ 22.dat
Chapter XXIII. A Startling Revelation.|||Horatio Alger Jr. ~ Do and Dare ~ 23.dat
Chapter XXIV. A Morning Walk.|||Horatio Alger Jr. ~ Do and Dare ~ 24.dat
Chapter XXV. Melville Makes a Sensation.|||Horatio Alger Jr. ~ Do and Dare ~ 25.dat
Chapter XXVI. A Council of War.|||Horatio Alger Jr. ~ Do and Dare ~ 26.dat
Chapter XXVII. Col. Warner Changes Front.|||Horatio Alger Jr. ~ Do and Dare ~ 27.dat
Chapter XXVIII. The Conspirators in Council.|||Horatio Alger Jr. ~ Do and Dare ~ 28.dat
Chapter XXIX. A New Home in the Woods.|||Horatio Alger Jr. ~ Do and Dare ~ 29.dat
Chapter XXX. A Terrible Moment.|||Horatio Alger Jr. ~ Do and Dare ~ 30.dat
Chapter XXXI. Jack Holden on the Indian Question.|||Horatio Alger Jr. ~ Do and Dare ~ 31.dat
Chapter XXXII. The Blazing Star Mine.|||Horatio Alger Jr. ~ Do and Dare ~ 32.dat
Chapter XXXIII. Good News from the Mine.|||Horatio Alger Jr. ~ Do and Dare ~ 33.dat
Chapter XXXIV. Two Old Acquaintances Reappear.|||Horatio Alger Jr. ~ Do and Dare ~ 34.dat
Chapter XXXV. Melville in Peril.|||Horatio Alger Jr. ~ Do and Dare ~ 35.dat
Chapter XXXVI. The Mine is Sold.|||Horatio Alger Jr. ~ Do and Dare ~ 36.dat
Chapter XXXVII. To the Rescue.|||Horatio Alger Jr. ~ Do and Dare ~ 37.dat
Chapter XXXVIII. Conclusion.|||Horatio Alger Jr. ~ Do and Dare ~ 38.dat
