author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Errand Boy, The
Section|3|Fiction/Children
Chapter Count|42
Chapter I. Phil has a Little Difficulty.|||Horatio Alger Jr. ~ Errand Boy, The ~ 1.dat
Chapter II. A Strange Revelation.|||Horatio Alger Jr. ~ Errand Boy, The ~ 2.dat
Chapter III. Phil's Sudden Resolution.|||Horatio Alger Jr. ~ Errand Boy, The ~ 3.dat
Chapter IV. Mr. Lionel Lake.|||Horatio Alger Jr. ~ Errand Boy, The ~ 4.dat
Chapter V. An Overbearing Conductor|||Horatio Alger Jr. ~ Errand Boy, The ~ 5.dat
Chapter VI. Signor Orlando.|||Horatio Alger Jr. ~ Errand Boy, The ~ 6.dat
Chapter VII. Bowerman's Varieties.|||Horatio Alger Jr. ~ Errand Boy, The ~ 7.dat
Chapter VIII. The House in Twelfth Street.|||Horatio Alger Jr. ~ Errand Boy, The ~ 8.dat
Chapter IX. The Old Gentleman Proves a Friend.|||Horatio Alger Jr. ~ Errand Boy, The ~ 9.dat
Chapter X. Phil Calls on Mr. Pitkin.|||Horatio Alger Jr. ~ Errand Boy, The ~ 10.dat
Chapter XI. Phil Enters Upon His Duties.|||Horatio Alger Jr. ~ Errand Boy, The ~ 11.dat
Chapter XII. Mr. Lionel Lake Again.|||Horatio Alger Jr. ~ Errand Boy, The ~ 12.dat
Chapter XIII. Phil's New Home.|||Horatio Alger Jr. ~ Errand Boy, The ~ 13.dat
Chapter XIV. Consulting the Oracle.|||Horatio Alger Jr. ~ Errand Boy, The ~ 14.dat
Chapter XV. Phil and the Fortune-Teller.|||Horatio Alger Jr. ~ Errand Boy, The ~ 15.dat
Chapter XVI. Mrs. Brent's Strange Temptation.|||Horatio Alger Jr. ~ Errand Boy, The ~ 16.dat
Chapter XVII. Jonas Joins the Conspiracy.|||Horatio Alger Jr. ~ Errand Boy, The ~ 17.dat
Chapter XVIII. The Conspiracy Succeeds.|||Horatio Alger Jr. ~ Errand Boy, The ~ 18.dat
Chapter XIX. A Narrow Escape from Detection.|||Horatio Alger Jr. ~ Errand Boy, The ~ 19.dat
Chapter XX. Left Out in the Cold.|||Horatio Alger Jr. ~ Errand Boy, The ~ 20.dat
Chapter XXI. "They Met by Chance."|||Horatio Alger Jr. ~ Errand Boy, The ~ 21.dat
Chapter XXII. Phil is "Bounced."|||Horatio Alger Jr. ~ Errand Boy, The ~ 22.dat
Chapter XXIII. An Explanation.|||Horatio Alger Jr. ~ Errand Boy, The ~ 23.dat
Chapter XXIV. Raising the Rent.|||Horatio Alger Jr. ~ Errand Boy, The ~ 24.dat
Chapter XXV. Alonzo is Puzzled.|||Horatio Alger Jr. ~ Errand Boy, The ~ 25.dat
Chapter XXVI. A Wonderful Change.|||Horatio Alger Jr. ~ Errand Boy, The ~ 26.dat
Chapter XXVII. An Unpleasant Surprise.|||Horatio Alger Jr. ~ Errand Boy, The ~ 27.dat
Chapter XXVIII. An Unsatisfactory Conference.|||Horatio Alger Jr. ~ Errand Boy, The ~ 28.dat
Chapter XXIX. A Truce.|||Horatio Alger Jr. ~ Errand Boy, The ~ 29.dat
Chapter XXX. Phil's Trust.|||Horatio Alger Jr. ~ Errand Boy, The ~ 30.dat
Chapter XXXI. Phil is Shadowed.|||Horatio Alger Jr. ~ Errand Boy, The ~ 31.dat
Chapter XXXII. Phil is Robbed.|||Horatio Alger Jr. ~ Errand Boy, The ~ 32.dat
Chapter XXXIII. A Terrible Situation.|||Horatio Alger Jr. ~ Errand Boy, The ~ 33.dat
Chapter XXXIV. Phil's Friends and His Enemies.|||Horatio Alger Jr. ~ Errand Boy, The ~ 34.dat
Chapter XXXV. The Pitkins Retire in Disgust.|||Horatio Alger Jr. ~ Errand Boy, The ~ 35.dat
Chapter XXXVI. The False Heir.|||Horatio Alger Jr. ~ Errand Boy, The ~ 36.dat
Chapter XXXVII. Mrs. Brent's Panic.|||Horatio Alger Jr. ~ Errand Boy, The ~ 37.dat
Chapter XXXVIII. An Important Discovery.|||Horatio Alger Jr. ~ Errand Boy, The ~ 38.dat
Chapter XXXIX. At the Palmer House.|||Horatio Alger Jr. ~ Errand Boy, The ~ 39.dat
Chapter XL. A Scene not on the Bills.|||Horatio Alger Jr. ~ Errand Boy, The ~ 40.dat
Fred Sargent's Revenge.|||Horatio Alger Jr. ~ Errand Boy, The ~ 41.dat
The Smuggler's Trap.|||Horatio Alger Jr. ~ Errand Boy, The ~ 42.dat
