author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Facing the World
Section|3|Fiction/Children
Chapter Count|17
Preface|||Horatio Alger Jr. ~ Facing the World ~ 1.dat
Chapter I. Harry Receives a Letter|||Horatio Alger Jr. ~ Facing the World ~ 2.dat
Chapter II. The Danger Signal|||Horatio Alger Jr. ~ Facing the World ~ 3.dat
Chapter III. Harry Disagrees With His Guardian|||Horatio Alger Jr. ~ Facing the World ~ 4.dat
Chapter IV. Mrs. Fox Comes to Grief|||Horatio Alger Jr. ~ Facing the World ~ 5.dat
Chapter V. Mr. Fox Learns Harry's Secret|||Horatio Alger Jr. ~ Facing the World ~ 6.dat
Chapter VI. An Exciting Chase|||Horatio Alger Jr. ~ Facing the World ~ 7.dat
Chapter VII. A New Engagement|||Horatio Alger Jr. ~ Facing the World ~ 8.dat
Chapter VIII. A Liberal Offer|||Horatio Alger Jr. ~ Facing the World ~ 9.dat
Chapter IX. The Passengers|||Horatio Alger Jr. ~ Facing the World ~ 10.dat
Chapter X. The Young Sailor|||Horatio Alger Jr. ~ Facing the World ~ 11.dat
Chapter XI. A Sensational Scene|||Horatio Alger Jr. ~ Facing the World ~ 12.dat
Chapter XII. A Storm|||Horatio Alger Jr. ~ Facing the World ~ 13.dat
Chapter XIII. "Who Will Stay?"|||Horatio Alger Jr. ~ Facing the World ~ 14.dat
Chapter XIV. The Wreck of the Nantucket|||Horatio Alger Jr. ~ Facing the World ~ 15.dat
Chapter XV. The Last of the "Nantucket"|||Horatio Alger Jr. ~ Facing the World ~ 16.dat
Chapter XVI. Conclusion|||Horatio Alger Jr. ~ Facing the World ~ 17.dat
