book title|Frank's Campaign
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|33
Chapter I. The War Meeting|||Horatio Alger Jr. ~ Frank's Campaign ~ 1.dat
Chapter II. The Prize|||Horatio Alger Jr. ~ Frank's Campaign ~ 2.dat
Chapter III. Frank At Home|||Horatio Alger Jr. ~ Frank's Campaign ~ 3.dat
Chapter IV. Frank Makes a Proposition|||Horatio Alger Jr. ~ Frank's Campaign ~ 4.dat
Chapter V. Mr. Rathburn Makes a Speech|||Horatio Alger Jr. ~ Frank's Campaign ~ 5.dat
Chapter VI. Mr. Frost Makes Up His Mind|||Horatio Alger Jr. ~ Frank's Campaign ~ 6.dat
Chapter VII. Like Father, Like Son|||Horatio Alger Jr. ~ Frank's Campaign ~ 7.dat
Chapter VIII. Discouraged and Encouraged|||Horatio Alger Jr. ~ Frank's Campaign ~ 8.dat
Chapter IX. The Last Evening At Home|||Horatio Alger Jr. ~ Frank's Campaign ~ 9.dat
Chapter X. Little Pomp|||Horatio Alger Jr. ~ Frank's Campaign ~ 10.dat
Chapter XI. Punishing a Bully|||Horatio Alger Jr. ~ Frank's Campaign ~ 11.dat
Chapter XII. A Letter From the Camp|||Horatio Alger Jr. ~ Frank's Campaign ~ 12.dat
Chapter XIII. Mischief on Foot|||Horatio Alger Jr. ~ Frank's Campaign ~ 13.dat
Chapter XIV. A Raid Upon the Pig-pen|||Horatio Alger Jr. ~ Frank's Campaign ~ 14.dat
Chapter XV. Pomp Behaves Badly|||Horatio Alger Jr. ~ Frank's Campaign ~ 15.dat
Chapter XVI. Frank Makes a Friend|||Horatio Alger Jr. ~ Frank's Campaign ~ 16.dat
Chapter XVII. A Shade of Mystery|||Horatio Alger Jr. ~ Frank's Campaign ~ 17.dat
Chapter XVIII. Thanksgiving At the Farm|||Horatio Alger Jr. ~ Frank's Campaign ~ 18.dat
Chapter XIX. The Wonderful Transformation|||Horatio Alger Jr. ~ Frank's Campaign ~ 19.dat
Chapter XX. Pomp's Education Commences|||Horatio Alger Jr. ~ Frank's Campaign ~ 20.dat
Chapter XXI. The Battle of Fredericksburg|||Horatio Alger Jr. ~ Frank's Campaign ~ 21.dat
Chapter XXII. Frank Broaches a New Plan|||Horatio Alger Jr. ~ Frank's Campaign ~ 22.dat
Chapter XXIII. Pomp Takes Mrs. Payson Prisoner|||Horatio Alger Jr. ~ Frank's Campaign ~ 23.dat
Chapter XXIV. A Chapter From Hardee|||Horatio Alger Jr. ~ Frank's Campaign ~ 24.dat
Chapter XXV. Election of Officers|||Horatio Alger Jr. ~ Frank's Campaign ~ 25.dat
Chapter XXVI. The Rebel Trap|||Horatio Alger Jr. ~ Frank's Campaign ~ 26.dat
Chapter XXVII. Pomp's Light Infantry Tactics|||Horatio Alger Jr. ~ Frank's Campaign ~ 27.dat
Chapter XXVIII. John Haynes Has a Narrow Escape|||Horatio Alger Jr. ~ Frank's Campaign ~ 28.dat
Chapter XXIX. Mr. Morton's Story|||Horatio Alger Jr. ~ Frank's Campaign ~ 29.dat
Chapter XXX. Frank Calls on Squire Haynes|||Horatio Alger Jr. ~ Frank's Campaign ~ 30.dat
Chapter XXXI. Squire Haynes Springs His Trap|||Horatio Alger Jr. ~ Frank's Campaign ~ 31.dat
Chapter XXXII. Turning the Tables|||Horatio Alger Jr. ~ Frank's Campaign ~ 32.dat
Chapter XXXIII. Conclusion|||Horatio Alger Jr. ~ Frank's Campaign ~ 33.dat
