book title|Hector's Inheritance
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|38
Chapter I. Mr. Roscoe Receives Two Letters.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 1.dat
Chapter II. Resenting an Insult.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 2.dat
Chapter III. Hector Learns a Secret.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 3.dat
Chapter IV. A Skirmish.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 4.dat
Chapter V. Preparing to Leave Home.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 5.dat
Chapter VI. Smith Institute.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 6.dat
Chapter VII. The Tyrant of the Playground.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 7.dat
Chapter VIII. In the Schoolroom.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 8.dat
Chapter IX. The Class in Virgil.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 9.dat
Chapter X. Dinner At Smith Institute.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 10.dat
Chapter XI. Hector Receives a Summons.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 11.dat
Chapter XII. The Impending Conflict.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 12.dat
Chapter XIII. Who Shall Be Victor?|||Horatio Alger Jr. ~ Hector's Inheritance ~ 13.dat
Chapter XIV. Socrates Calls Hector to Account.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 14.dat
Chapter XV. The Usher Confides in Hector.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 15.dat
Chapter XVI. Tossed in a Blanket.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 16.dat
Chapter XVII. Jim Smith's Revenge.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 17.dat
Chapter XVIII. The Missing Wallet Is Found.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 18.dat
Chapter XIX. A Dramatic Scene.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 19.dat
Chapter XX. Hector Gains a Victory.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 20.dat
Chapter XXI. The Usher Is Discharged.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 21.dat
Chapter XXII. The Welcome Letter.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 22.dat
Chapter XXIII. Another Chance for the Usher.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 23.dat
Chapter XXIV. The Young Detectives.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 24.dat
Chapter XXV. Smith Institute Grows Unpopular.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 25.dat
Chapter XXVI. Hector's Arrival in New York.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 26.dat
Chapter XXVII. Larry Deane.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 27.dat
Chapter XXVIII. Two More Acquaintances.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 28.dat
Chapter XXIX. Jim Smith Effects a Loan.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 29.dat
Chapter XXX. A Brave Deed.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 30.dat
Chapter XXXI. An Important Letter.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 31.dat
Chapter XXXII. A Wayward Youth.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 32.dat
Chapter XXXIII. Mr. Roscoe Makes a Discovery.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 33.dat
Chapter XXXIV. First Impressions of San Francisco.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 34.dat
Chapter XXXV. The Prodigal.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 35.dat
Chapter XXXVI. How Hector Succeeded in Sacramento.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 36.dat
Chapter XXXVII. A Narrow Escape.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 37.dat
Chapter XXXVIII. Conclusion.|||Horatio Alger Jr. ~ Hector's Inheritance ~ 38.dat
