author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Helping Himself
Section|3|Fiction/Children
Chapter Count|40
Chapter I. The Minister's Son|||Horatio Alger Jr. ~ Helping Himself ~ 1.dat
Chapter II. Grant Makes Two Business Calls|||Horatio Alger Jr. ~ Helping Himself ~ 2.dat
Chapter III. Grant Walks to Somerset|||Horatio Alger Jr. ~ Helping Himself ~ 3.dat
Chapter IV. A Timely Rescue|||Horatio Alger Jr. ~ Helping Himself ~ 4.dat
Chapter V. Mrs. Thornton's Pearls|||Horatio Alger Jr. ~ Helping Himself ~ 5.dat
Chapter VI. Grant Gets Into Unexpected Trouble|||Horatio Alger Jr. ~ Helping Himself ~ 6.dat
Chapter VII. Mrs. Simpson Comes to Grief|||Horatio Alger Jr. ~ Helping Himself ~ 7.dat
Chapter VIII. Grant Takes a Decisive Step|||Horatio Alger Jr. ~ Helping Himself ~ 8.dat
Chapter IX. 'Uncle Godfrey Parts from Grant|||Horatio Alger Jr. ~ Helping Himself ~ 9.dat
Chapter X. A Day in Wall Street|||Horatio Alger Jr. ~ Helping Himself ~ 10.dat
Chapter XI. Grant Makes a Friend|||Horatio Alger Jr. ~ Helping Himself ~ 11.dat
Chapter XII. Mrs. Estabrook's Plans|||Horatio Alger Jr. ~ Helping Himself ~ 12.dat
Chapter XIII. Two Views of Tom Calder|||Horatio Alger Jr. ~ Helping Himself ~ 13.dat
Chapter XIV. Willis Ford's New Friends|||Horatio Alger Jr. ~ Helping Himself ~ 14.dat
Chapter XV. An Artful Trap|||Horatio Alger Jr. ~ Helping Himself ~ 15.dat
Chapter XVI. Grant Falls Under Suspicion|||Horatio Alger Jr. ~ Helping Himself ~ 16.dat
Chapter XVII. The Telltale Key|||Horatio Alger Jr. ~ Helping Himself ~ 17.dat
Chapter XVIII. Grant's Enemies Triumph|||Horatio Alger Jr. ~ Helping Himself ~ 18.dat
Chapter XIX. Important Evidence|||Horatio Alger Jr. ~ Helping Himself ~ 19.dat
Chapter XX. At the Fifth Avenue Hotel|||Horatio Alger Jr. ~ Helping Himself ~ 20.dat
Chapter XXI. The Thief is Discovered|||Horatio Alger Jr. ~ Helping Himself ~ 21.dat
Chapter XXII. Willis Ford at Bay|||Horatio Alger Jr. ~ Helping Himself ~ 22.dat
Chapter XXIII. Justice Triumphs|||Horatio Alger Jr. ~ Helping Himself ~ 23.dat
Chapter XXIV. Startling News|||Horatio Alger Jr. ~ Helping Himself ~ 24.dat
Chapter XXV. Anxious Inquiries|||Horatio Alger Jr. ~ Helping Himself ~ 25.dat
Chapter XXVI. A Western Cabin|||Horatio Alger Jr. ~ Helping Himself ~ 26.dat
Chapter XXVII. The Ride to Barton's|||Horatio Alger Jr. ~ Helping Himself ~ 27.dat
Chapter XXVIII. Herbert is Provided With a New Home|||Horatio Alger Jr. ~ Helping Himself ~ 28.dat
Chapter XXIX. Introduces Mr. Barton|||Horatio Alger Jr. ~ Helping Himself ~ 29.dat
Chapter XXX. A Model Household|||Horatio Alger Jr. ~ Helping Himself ~ 30.dat
Chapter XXXI. The Housekeeper's Crime|||Horatio Alger Jr. ~ Helping Himself ~ 31.dat
Chapter XXXII. Hope Deferred|||Horatio Alger Jr. ~ Helping Himself ~ 32.dat
Chapter XXXIII. The Journey Begins|||Horatio Alger Jr. ~ Helping Himself ~ 33.dat
Chapter XXIV. Mrs. Barton's Surprise|||Horatio Alger Jr. ~ Helping Himself ~ 34.dat
Chapter XXXV. Herbert Breaks Down|||Horatio Alger Jr. ~ Helping Himself ~ 35.dat
Chapter XXXVI. Grant Receives a Letter|||Horatio Alger Jr. ~ Helping Himself ~ 36.dat
Chapter XXXVII. Willis Ford Finds the Runaways|||Horatio Alger Jr. ~ Helping Himself ~ 37.dat
Chapter XXXVIII. Ford Takes a Bold Step, but Fails|||Horatio Alger Jr. ~ Helping Himself ~ 38.dat
Chapter XXXIX. The Housekeeper's Retribution|||Horatio Alger Jr. ~ Helping Himself ~ 39.dat
Chapter XL. Conclusion|||Horatio Alger Jr. ~ Helping Himself ~ 40.dat
