book title|Herbert Carter's Legacy
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|37
Biography and Bibliography|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 1.dat
Chapter I. Mrs. Carter Receives a Letter|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 2.dat
Chapter II. What the Letter Contained|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 3.dat
Chapter III. Herbert Meets a Relative|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 4.dat
Chapter IV. Reading the Will|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 5.dat
Chapter V. What Came Afterward|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 6.dat
Chapter VI. The Lawyer's Home|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 7.dat
Chapter VII. A Welcome Discovery|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 8.dat
Chapter VIII. Herbert's Return|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 9.dat
Chapter IX. A Business Confidence|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 10.dat
Chapter X. Squire Leech Is Baffled|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 11.dat
Chapter XI. Sickness|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 12.dat
Chapter XII. Poor and Proud|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 13.dat
Chapter XIII. Mr. Banks, the Superintendent|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 14.dat
Chapter XIV. Herbert's New Undertaking|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 15.dat
Chapter XV. The Crisis Approaches|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 16.dat
Chapter XVI. An Unexpected Offer|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 17.dat
Chapter XVII. What the Letter Contained|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 18.dat
Chapter XVIII. How the Squire Was Circumvented|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 19.dat
Chapter XIX. Herbert Becomes a Professor|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 20.dat
Chapter XX. Prospect Pond|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 21.dat
Chapter XXI. Rowing|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 22.dat
Chapter XXII. Andrew Temple|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 23.dat
Chapter XXIII. Temple the Tempter|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 24.dat
Chapter XXIV. James Is Snubbed|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 25.dat
Chapter XXV. The New Boat|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 26.dat
Chapter XXVI. The Rival Boatmen|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 27.dat
Chapter XXVII. The Race|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 28.dat
Chapter XXVIII. Mrs. Carter's Guest|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 29.dat
Chapter XXIX. A Bitter Pill|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 30.dat
Chapter XXX. Out of Work Again|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 31.dat
Chapter XXXI. A New Start|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 32.dat
Chapter XXXII. Opening the Campaign|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 33.dat
Chapter XXXIII. Herbert As a Newsboy|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 34.dat
Chapter XXXIV. Herbert's Legacy|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 35.dat
Chapter XXXV. Herbert's Return|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 36.dat
Chapter XXXVI. Conclusion|||Horatio Alger Jr. ~ Herbert Carter's Legacy ~ 37.dat
