author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Jack's Ward
Section|3|Fiction/Children
Chapter Count|37
Biography and Bibliography|||Horatio Alger Jr. ~ Jack's Ward ~ 1.dat
Chapter I. Jack Harding Gets a Job|||Horatio Alger Jr. ~ Jack's Ward ~ 2.dat
Chapter II. The Events of an Evening|||Horatio Alger Jr. ~ Jack's Ward ~ 3.dat
Chapter III. Jack's New Plan|||Horatio Alger Jr. ~ Jack's Ward ~ 4.dat
Chapter IV. Mrs. Harding Takes a Boarder|||Horatio Alger Jr. ~ Jack's Ward ~ 5.dat
Chapter V. The Captain's Departure|||Horatio Alger Jr. ~ Jack's Ward ~ 6.dat
Chapter VI. The Landlord's Visit|||Horatio Alger Jr. ~ Jack's Ward ~ 7.dat
Chapter VII. The New Year's Gift|||Horatio Alger Jr. ~ Jack's Ward ~ 8.dat
Chapter VIII. A Lucky Rescue|||Horatio Alger Jr. ~ Jack's Ward ~ 9.dat
Chapter IX. What the Envelope Contained|||Horatio Alger Jr. ~ Jack's Ward ~ 10.dat
Chapter X. Jack's Mischief|||Horatio Alger Jr. ~ Jack's Ward ~ 11.dat
Chapter XI. Miss Harding's Mistake|||Horatio Alger Jr. ~ Jack's Ward ~ 12.dat
Chapter XII. Seven Years|||Horatio Alger Jr. ~ Jack's Ward ~ 13.dat
Chapter XIII. A Mysterious Visitor|||Horatio Alger Jr. ~ Jack's Ward ~ 14.dat
Chapter XIV. Preparing for a Journey|||Horatio Alger Jr. ~ Jack's Ward ~ 15.dat
Chapter XV. The Journey|||Horatio Alger Jr. ~ Jack's Ward ~ 16.dat
Chapter XVI. Unexpected Quarters|||Horatio Alger Jr. ~ Jack's Ward ~ 17.dat
Chapter XVII. Suspense|||Horatio Alger Jr. ~ Jack's Ward ~ 18.dat
Chapter XVIII. How Ida Fared|||Horatio Alger Jr. ~ Jack's Ward ~ 19.dat
Chapter XIX. Bad Money|||Horatio Alger Jr. ~ Jack's Ward ~ 20.dat
Chapter XX. Doubts and Fears|||Horatio Alger Jr. ~ Jack's Ward ~ 21.dat
Chapter XXI. Aunt Rachel's Mishaps|||Horatio Alger Jr. ~ Jack's Ward ~ 22.dat
Chapter XXII. The Flower Girl|||Horatio Alger Jr. ~ Jack's Ward ~ 23.dat
Chapter XXIII. Jack Obtains Information|||Horatio Alger Jr. ~ Jack's Ward ~ 24.dat
Chapter XXIV. Jack's Discovery|||Horatio Alger Jr. ~ Jack's Ward ~ 25.dat
Chapter XXV. Caught in a Trap|||Horatio Alger Jr. ~ Jack's Ward ~ 26.dat
Chapter XXVI. Dr. Robinson|||Horatio Alger Jr. ~ Jack's Ward ~ 27.dat
Chapter XXVII. Jack Begins to Realize His Situation|||Horatio Alger Jr. ~ Jack's Ward ~ 28.dat
Chapter XXVIII. The Secret Staircase|||Horatio Alger Jr. ~ Jack's Ward ~ 29.dat
Chapter XXIX. Jack is Detected|||Horatio Alger Jr. ~ Jack's Ward ~ 30.dat
Chapter XXX. Jack's Triumph|||Horatio Alger Jr. ~ Jack's Ward ~ 31.dat
Chapter XXXI. Mr. John Somerville|||Horatio Alger Jr. ~ Jack's Ward ~ 32.dat
Chapter XXXII. A Providential Meeting|||Horatio Alger Jr. ~ Jack's Ward ~ 33.dat
Chapter XXXIII. Ida is Found|||Horatio Alger Jr. ~ Jack's Ward ~ 34.dat
Chapter XXXIV. Never Too Late to Mend|||Horatio Alger Jr. ~ Jack's Ward ~ 35.dat
Chapter XXXV. Jack's Return|||Horatio Alger Jr. ~ Jack's Ward ~ 36.dat
Chapter XXXVI. Conclusion|||Horatio Alger Jr. ~ Jack's Ward ~ 37.dat
