book title|Joe The Hotel Boy
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|31
Preface.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 1.dat
Chapter I. Out in a Storm.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 2.dat
Chapter II. A Mysterious Conversation.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 3.dat
Chapter III. A Home in Ruins.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 4.dat
Chapter IV. The Search for the Blue Box.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 5.dat
Chapter V. A New Suit of Clothes.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 6.dat
Chapter VI. An Accident on the Lake.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 7.dat
Chapter VII. Blows and Kind Deeds.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 8.dat
Chapter VIII. The Timid Mr. Gussing.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 9.dat
Chapter IX. An Unfortunate Outing.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 10.dat
Chapter X. David Ball From Montana.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 11.dat
Chapter XI. A Fruitless Chase.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 12.dat
Chapter XII. The Particulars of a Swindle.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 13.dat
Chapter XIII. Off for the City.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 14.dat
Chapter XIV. A Scene on the Train.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 15.dat
Chapter XV. What Happened to Josiah Bean.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 16.dat
Chapter XVI. A Matter of Six Hundred Dollars.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 17.dat
Chapter XVII. Joe's New Position.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 18.dat
Chapter XVIII. Joe Shows His Muscle.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 19.dat
Chapter XIX. One Kind of a Duel.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 20.dat
Chapter XX. Attacked in the Dark.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 21.dat
Chapter XXI. Days At the Hotel.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 22.dat
Chapter XXII. About Some Mining Shares.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 23.dat
Chapter XXIII. The Fire At the Hotel.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 24.dat
Chapter XXIV. The Blue Box At Last.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 25.dat
Chapter XXV. Joe Visits Chicago.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 26.dat
Chapter XXVI. How a Satchel Disappeared.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 27.dat
Chapter XXVII. Joe Makes a Discovery.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 28.dat
Chapter XXVIII. From Out of a Tree.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 29.dat
Chapter XXIX. The Fate of Two Evildoers.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 30.dat
Chapter XXX. Conclusion.|||Horatio Alger Jr. ~ Joe The Hotel Boy ~ 31.dat
