book title|Joe's Luck
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|40
Chapter I. Introduces Joe|||Horatio Alger Jr. ~ Joe's Luck ~ 1.dat
Chapter II. The Stained Suit|||Horatio Alger Jr. ~ Joe's Luck ~ 2.dat
Chapter III. The Returned Californian|||Horatio Alger Jr. ~ Joe's Luck ~ 3.dat
Chapter IV. Joe's Legacy|||Horatio Alger Jr. ~ Joe's Luck ~ 4.dat
Chapter V. At the Commercial Hotel.|||Horatio Alger Jr. ~ Joe's Luck ~ 5.dat
Chapter VI. Joe Buys a Ticket|||Horatio Alger Jr. ~ Joe's Luck ~ 6.dat
Chapter VII. Joe Gets Into Trouble|||Horatio Alger Jr. ~ Joe's Luck ~ 7.dat
Chapter VIII. Joe's Luck Changes|||Horatio Alger Jr. ~ Joe's Luck ~ 8.dat
Chapter IX. The First Day on Board|||Horatio Alger Jr. ~ Joe's Luck ~ 9.dat
Chapter X. The Detected Thief|||Horatio Alger Jr. ~ Joe's Luck ~ 10.dat
Chapter XI. Joe Arrives in San Francisco|||Horatio Alger Jr. ~ Joe's Luck ~ 11.dat
Chapter XII. Joe Finds a Job|||Horatio Alger Jr. ~ Joe's Luck ~ 12.dat
Chapter XIII. Joe's Hotel|||Horatio Alger Jr. ~ Joe's Luck ~ 13.dat
Chapter XIV. Joe's Second Day|||Horatio Alger Jr. ~ Joe's Luck ~ 14.dat
Chapter XV. The Foiled Assassin|||Horatio Alger Jr. ~ Joe's Luck ~ 15.dat
Chapter XVI. Joe's New Friend|||Horatio Alger Jr. ~ Joe's Luck ~ 16.dat
Chapter XVII. Joe Starts in Business|||Horatio Alger Jr. ~ Joe's Luck ~ 17.dat
Chapter XVIII. Mr. Hogan's Proposal|||Horatio Alger Jr. ~ Joe's Luck ~ 18.dat
Chapter XIX. The Unlucky Miner|||Horatio Alger Jr. ~ Joe's Luck ~ 19.dat
Chapter XX. Hogan Meets a Congenial Spirit|||Horatio Alger Jr. ~ Joe's Luck ~ 20.dat
Chapter XXI. Ready for Mischief|||Horatio Alger Jr. ~ Joe's Luck ~ 21.dat
Chapter XXII. Checkmated|||Horatio Alger Jr. ~ Joe's Luck ~ 22.dat
Chapter XXIII. Not Wholly Black|||Horatio Alger Jr. ~ Joe's Luck ~ 23.dat
Chapter XXIV. Mr. Bickford, of Pumpkin Hollow|||Horatio Alger Jr. ~ Joe's Luck ~ 24.dat
Chapter XXV. The Man From Pike County|||Horatio Alger Jr. ~ Joe's Luck ~ 25.dat
Chapter XXVI. A Desperado|||Horatio Alger Jr. ~ Joe's Luck ~ 26.dat
Chapter XXVII. Two Tragic Stories|||Horatio Alger Jr. ~ Joe's Luck ~ 27.dat
Chapter XXVIII. The Events of a Night|||Horatio Alger Jr. ~ Joe's Luck ~ 28.dat
Chapter XXIX. John Chinaman|||Horatio Alger Jr. ~ Joe's Luck ~ 29.dat
Chapter XXX. On the Yuba River|||Horatio Alger Jr. ~ Joe's Luck ~ 30.dat
Chapter XXXI. Judge Lynch Pronounces Sentence|||Horatio Alger Jr. ~ Joe's Luck ~ 31.dat
Chapter XXXII. Taking Account of Stock|||Horatio Alger Jr. ~ Joe's Luck ~ 32.dat
Chapter XXXIII. A Startling Tableau|||Horatio Alger Jr. ~ Joe's Luck ~ 33.dat
Chapter XXXIV. A Grizzly on the War-path|||Horatio Alger Jr. ~ Joe's Luck ~ 34.dat
Chapter XXXV. The New Diggings|||Horatio Alger Jr. ~ Joe's Luck ~ 35.dat
Chapter XXXVI. Hogan's Discontent|||Horatio Alger Jr. ~ Joe's Luck ~ 36.dat
Chapter XXXVII. The Nugget Is Stolen.|||Horatio Alger Jr. ~ Joe's Luck ~ 37.dat
Chapter XXXVIII. Hogan's Fate|||Horatio Alger Jr. ~ Joe's Luck ~ 38.dat
Chapter XXXIX. How Joe's Business Prospered|||Horatio Alger Jr. ~ Joe's Luck ~ 39.dat
Chapter XL. Joe's Welcome Home|||Horatio Alger Jr. ~ Joe's Luck ~ 40.dat
