book title|Only An Irish Boy
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|36
Chapter I. Andy Burke|||Horatio Alger Jr. ~ Only An Irish Boy ~ 1.dat
Chapter II. A Skirmish|||Horatio Alger Jr. ~ Only An Irish Boy ~ 2.dat
Chapter III. Andy and His Mother|||Horatio Alger Jr. ~ Only An Irish Boy ~ 3.dat
Chapter IV. Mrs. Preston|||Horatio Alger Jr. ~ Only An Irish Boy ~ 4.dat
Chapter V. A Profitable Job|||Horatio Alger Jr. ~ Only An Irish Boy ~ 5.dat
Chapter VI. The Two Old Maids|||Horatio Alger Jr. ~ Only An Irish Boy ~ 6.dat
Chapter VII. Andy Obtains a Place|||Horatio Alger Jr. ~ Only An Irish Boy ~ 7.dat
Chapter VIII. The Midnight Alarm|||Horatio Alger Jr. ~ Only An Irish Boy ~ 8.dat
Chapter IX. What Followed|||Horatio Alger Jr. ~ Only An Irish Boy ~ 9.dat
Chapter X. Andy's Debut At School|||Horatio Alger Jr. ~ Only An Irish Boy ~ 10.dat
Chapter XI. A Game of Ball|||Horatio Alger Jr. ~ Only An Irish Boy ~ 11.dat
Chapter XII. A Little Difficulty|||Horatio Alger Jr. ~ Only An Irish Boy ~ 12.dat
Chapter XIII. Godfrey's Rebellion|||Horatio Alger Jr. ~ Only An Irish Boy ~ 13.dat
Chapter XIV. Mr. Stone Is Called to Account|||Horatio Alger Jr. ~ Only An Irish Boy ~ 14.dat
Chapter XV. Mrs. Preston's Discomfiture|||Horatio Alger Jr. ~ Only An Irish Boy ~ 15.dat
Chapter XVI. The Christmas Present|||Horatio Alger Jr. ~ Only An Irish Boy ~ 16.dat
Chapter XVII. Introduces an Adventurer|||Horatio Alger Jr. ~ Only An Irish Boy ~ 17.dat
Chapter XVIII. Riding With a Highwayman|||Horatio Alger Jr. ~ Only An Irish Boy ~ 18.dat
Chapter XIX. Baffled a Robber|||Horatio Alger Jr. ~ Only An Irish Boy ~ 19.dat
Chapter XX. How the News Was Received|||Horatio Alger Jr. ~ Only An Irish Boy ~ 20.dat
Chapter XXI. A Model Wife|||Horatio Alger Jr. ~ Only An Irish Boy ~ 21.dat
Chapter XXII. Colonel Preston's Recovery|||Horatio Alger Jr. ~ Only An Irish Boy ~ 22.dat
Chapter XXIII. Mrs. Burke Has Good Fortune|||Horatio Alger Jr. ~ Only An Irish Boy ~ 23.dat
Chapter XXIV. Andy's Journey|||Horatio Alger Jr. ~ Only An Irish Boy ~ 24.dat
Chapter XXV. The Merchant From Portland|||Horatio Alger Jr. ~ Only An Irish Boy ~ 25.dat
Chapter XXVI. Spinning the Web|||Horatio Alger Jr. ~ Only An Irish Boy ~ 26.dat
Chapter XXVII. The Drop Game|||Horatio Alger Jr. ~ Only An Irish Boy ~ 27.dat
Chapter XXVIII. The Guest of Two Hotels|||Horatio Alger Jr. ~ Only An Irish Boy ~ 28.dat
Chapter XXIX. A Startling Event|||Horatio Alger Jr. ~ Only An Irish Boy ~ 29.dat
Chapter XXX. Colonel Preston's Will|||Horatio Alger Jr. ~ Only An Irish Boy ~ 30.dat
Chapter XXXI. Mrs. Preston's Intentions|||Horatio Alger Jr. ~ Only An Irish Boy ~ 31.dat
Chapter XXXII. Mrs. Preston's Revenge|||Horatio Alger Jr. ~ Only An Irish Boy ~ 32.dat
Chapter XXXIII. Andy Loses His Place|||Horatio Alger Jr. ~ Only An Irish Boy ~ 33.dat
Chapter XXXIV. The Will At Last|||Horatio Alger Jr. ~ Only An Irish Boy ~ 34.dat
Chapter XXXV. Mrs. Preston Is Unpleasantly Surprised|||Horatio Alger Jr. ~ Only An Irish Boy ~ 35.dat
Chapter XXXVI. All's Well That Ends Well|||Horatio Alger Jr. ~ Only An Irish Boy ~ 36.dat
