book title|Paul the Peddler
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|26
Chapter I. Paul the Peddler|||Horatio Alger Jr. ~ Paul the Peddler ~ 1.dat
Chapter II. Paul At Home|||Horatio Alger Jr. ~ Paul the Peddler ~ 2.dat
Chapter III. Paul Has Competitors|||Horatio Alger Jr. ~ Paul the Peddler ~ 3.dat
Chapter IV. Teddy Gives Up Business|||Horatio Alger Jr. ~ Paul the Peddler ~ 4.dat
Chapter V. Paul Loses His Basket |||Horatio Alger Jr. ~ Paul the Peddler ~ 5.dat
Chapter VI. Paul As an Artist|||Horatio Alger Jr. ~ Paul the Peddler ~ 6.dat
Chapter VII. A New Business|||Horatio Alger Jr. ~ Paul the Peddler ~ 7.dat
Chapter VIII. A Stroke of Ill Luck|||Horatio Alger Jr. ~ Paul the Peddler ~ 8.dat
Chapter IX. A New Patron|||Horatio Alger Jr. ~ Paul the Peddler ~ 9.dat
Chapter X. Another Loss|||Horatio Alger Jr. ~ Paul the Peddler ~ 10.dat
Chapter XI. Barclay & Co.|||Horatio Alger Jr. ~ Paul the Peddler ~ 11.dat
Chapter XII. The Barrel Thief|||Horatio Alger Jr. ~ Paul the Peddler ~ 12.dat
Chapter XIII. Out of Business|||Horatio Alger Jr. ~ Paul the Peddler ~ 13.dat
Chapter XIV. The Diamond Ring|||Horatio Alger Jr. ~ Paul the Peddler ~ 14.dat
Chapter XV. The Pawnbroker's Shop|||Horatio Alger Jr. ~ Paul the Peddler ~ 15.dat
Chapter XVI. The Jeweler's Price|||Horatio Alger Jr. ~ Paul the Peddler ~ 16.dat
Chapter XVII. Mr. Felix Montgomery|||Horatio Alger Jr. ~ Paul the Peddler ~ 17.dat
Chapter XVIII. A Clever Thief|||Horatio Alger Jr. ~ Paul the Peddler ~ 18.dat
Chapter XIX. Paul Deliberates|||Horatio Alger Jr. ~ Paul the Peddler ~ 19.dat
Chapter XX. The Thief in Disguise|||Horatio Alger Jr. ~ Paul the Peddler ~ 20.dat
Chapter XXI. Paul Is Checkmated|||Horatio Alger Jr. ~ Paul the Peddler ~ 21.dat
Chapter XXII. A Man of Resources|||Horatio Alger Jr. ~ Paul the Peddler ~ 22.dat
Chapter XXIII. A New Expedient|||Horatio Alger Jr. ~ Paul the Peddler ~ 23.dat
Chapter XXIV. Mr. Montgomery's Arrest|||Horatio Alger Jr. ~ Paul the Peddler ~ 24.dat
Chapter XXV. Paul's Final Success|||Horatio Alger Jr. ~ Paul the Peddler ~ 25.dat
Chapter XXVI. Conclusion|||Horatio Alger Jr. ~ Paul the Peddler ~ 26.dat
