book title|Phil, the Fiddler
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|27
Preface|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 1.dat
Chapter I. Phil the Fiddler|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 2.dat
Chapter II. Phil and His Protector|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 3.dat
Chapter III. Giacomo|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 4.dat
Chapter IV. An Invitation to Supper|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 5.dat
Chapter V. On the Ferry Boat|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 6.dat
Chapter VI. The Barroom|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 7.dat
Chapter VII. The Home of the Boys|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 8.dat
Chapter VIII. A Cold Day|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 9.dat
Chapter IX. Pietro the Spy|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 10.dat
Chapter X. French's Hotel|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 11.dat
Chapter XI. The Boys Reception|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 12.dat
Chapter XII. Giacomo's Presentiments|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 13.dat
Chapter XIII. Phil Finds a Capitalist|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 14.dat
Chapter XIV. The Tambourine Girl|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 15.dat
Chapter XV. Phil's New Plans|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 16.dat
Chapter XVI. The Fashionable Party|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 17.dat
Chapter XVII. The Padrone Is Anxious|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 18.dat
Chapter XVIII. Phil Eludes His Pursuer|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 19.dat
Chapter XIX. Pietro's Pursuit|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 20.dat
Chapter XX. Pietro's Disappointment|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 21.dat
Chapter XXI. The Siege|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 22.dat
Chapter XXII. The Siege Is Raised|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 23.dat
Chapter XXIII. A Pitched Battle|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 24.dat
Chapter XXIV. The Death of Giacomo|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 25.dat
Chapter XXV. Phil Finds a Friend|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 26.dat
Chapter XXVI. Conclusion|||Horatio Alger Jr. ~ Phil, the Fiddler ~ 27.dat
