book title|Ragged Dick
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|27
Chapter I. Ragged Dick Is Introduced to the Reader|||Horatio Alger Jr. ~ Ragged Dick ~ 1.dat
Chapter II. Johnny Nolan|||Horatio Alger Jr. ~ Ragged Dick ~ 2.dat
Chapter III. Dick Makes a Proposition|||Horatio Alger Jr. ~ Ragged Dick ~ 3.dat
Chapter IV. Dick's New Suit|||Horatio Alger Jr. ~ Ragged Dick ~ 4.dat
Chapter V. Chatham Street and Broadway|||Horatio Alger Jr. ~ Ragged Dick ~ 5.dat
Chapter VI. Up Broadway to Madison Square|||Horatio Alger Jr. ~ Ragged Dick ~ 6.dat
Chapter VII. The Pocket-book|||Horatio Alger Jr. ~ Ragged Dick ~ 7.dat
Chapter VIII. Dick's Early History|||Horatio Alger Jr. ~ Ragged Dick ~ 8.dat
Chapter IX. A Scene in a Thlrd Avenue Car|||Horatio Alger Jr. ~ Ragged Dick ~ 9.dat
Chapter X. Introduces a Victim of Misplaced Confidence|||Horatio Alger Jr. ~ Ragged Dick ~ 10.dat
Chapter XI. Dick As a Detectlve|||Horatio Alger Jr. ~ Ragged Dick ~ 11.dat
Chapter XII. Dick Hires a Room on Mott Street|||Horatio Alger Jr. ~ Ragged Dick ~ 12.dat
Chapter XIII. Micky Magulre|||Horatio Alger Jr. ~ Ragged Dick ~ 13.dat
Chapter XIV. A Battle and a Victory|||Horatio Alger Jr. ~ Ragged Dick ~ 14.dat
Chapter XV. Dick Secures a Tutor|||Horatio Alger Jr. ~ Ragged Dick ~ 15.dat
Chapter XVI. The First Lesson|||Horatio Alger Jr. ~ Ragged Dick ~ 16.dat
Chapter XVII. Dick's First Appearance in Society|||Horatio Alger Jr. ~ Ragged Dick ~ 17.dat
Chapter XVIII. Micky Maguire's Second Defeat|||Horatio Alger Jr. ~ Ragged Dick ~ 18.dat
Chapter XIX. Fosdick Changes His Business|||Horatio Alger Jr. ~ Ragged Dick ~ 19.dat
Chapter XX. Nine Months Later|||Horatio Alger Jr. ~ Ragged Dick ~ 20.dat
Chapter XXI. Dick Loses His Bank-book|||Horatio Alger Jr. ~ Ragged Dick ~ 21.dat
Chapter XXII. Tracking the Thlef|||Horatio Alger Jr. ~ Ragged Dick ~ 22.dat
Chapter XXIII. Travis Is Arrested|||Horatio Alger Jr. ~ Ragged Dick ~ 23.dat
Chapter XXIV. Dick Receives a Letter|||Horatio Alger Jr. ~ Ragged Dick ~ 24.dat
Chapter XXV. Dick Writes His First Letter|||Horatio Alger Jr. ~ Ragged Dick ~ 25.dat
Chapter XXVI. An Exciting Adventure|||Horatio Alger Jr. ~ Ragged Dick ~ 26.dat
Chapter XXVII. Concluslon|||Horatio Alger Jr. ~ Ragged Dick ~ 27.dat
