author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
book title | Store Boy, The
Section|3|Fiction/Children
Chapter Count|38
Chapter I. Ben Barclay Meets a Tramp|||Horatio Alger Jr. ~ Store Boy, The ~ 1.dat
Chapter II. Ben and His Mother|||Horatio Alger Jr. ~ Store Boy, The ~ 2.dat
Chapter III. Mrs. Barclay's Callers|||Horatio Alger Jr. ~ Store Boy, The ~ 3.dat
Chapter IV. Unpleasant Business|||Horatio Alger Jr. ~ Store Boy, The ~ 4.dat
Chapter V. Professor Harrington's Entertainment|||Horatio Alger Jr. ~ Store Boy, The ~ 5.dat
Chapter VI. Two Young Rivals|||Horatio Alger Jr. ~ Store Boy, The ~ 6.dat
Chapter VII. The Tramp Makes Another Call|||Horatio Alger Jr. ~ Store Boy, The ~ 7.dat
Chapter VIII. Squire Davenport's Financial Operation|||Horatio Alger Jr. ~ Store Boy, The ~ 8.dat
Chapter IX. A Prospect of Trouble|||Horatio Alger Jr. ~ Store Boy, The ~ 9.dat
Chapter X. Ben Goes to New York|||Horatio Alger Jr. ~ Store Boy, The ~ 10.dat
Chapter XI. The Madison Avenue Stage|||Horatio Alger Jr. ~ Store Boy, The ~ 11.dat
Chapter XII. Ben's Luck|||Horatio Alger Jr. ~ Store Boy, The ~ 12.dat
Chapter XIII. A Startling Event|||Horatio Alger Jr. ~ Store Boy, The ~ 13.dat
Chapter XIV. Ben Shows Himself a Hero|||Horatio Alger Jr. ~ Store Boy, The ~ 14.dat
Chapter XV. Ben Loses His Place|||Horatio Alger Jr. ~ Store Boy, The ~ 15.dat
Chapter XVI. Ben Finds Temporary Employment|||Horatio Alger Jr. ~ Store Boy, The ~ 16.dat
Chapter XVII. What the Letter Contained|||Horatio Alger Jr. ~ Store Boy, The ~ 17.dat
Chapter XVIII. Farewell to Pentonville|||Horatio Alger Jr. ~ Store Boy, The ~ 18.dat
Chapter XIX. A Cool Reception|||Horatio Alger Jr. ~ Store Boy, The ~ 19.dat
Chapter XX. Entering Upon His Duties|||Horatio Alger Jr. ~ Store Boy, The ~ 20.dat
Chapter XXI. At the Theater|||Horatio Alger Jr. ~ Store Boy, The ~ 21.dat
Chapter XXII. A Mysterious Letter|||Horatio Alger Jr. ~ Store Boy, The ~ 22.dat
Chapter XXIII. Ben's Visit to Thirty-First Street|||Horatio Alger Jr. ~ Store Boy, The ~ 23.dat
Chapter XXIV. Ben on Trial|||Horatio Alger Jr. ~ Store Boy, The ~ 24.dat
Chapter XXV. Conrad Takes a Bold Step|||Horatio Alger Jr. ~ Store Boy, The ~ 25.dat
Chapter XXVI. Mr. Lynx, the Detective|||Horatio Alger Jr. ~ Store Boy, The ~ 26.dat
Chapter XXVII. The Telltale Ticket|||Horatio Alger Jr. ~ Store Boy, The ~ 27.dat
Chapter XXVIII. Mrs. Hill's Malice|||Horatio Alger Jr. ~ Store Boy, The ~ 28.dat
Chapter XXIX. Some Unexpected Changes|||Horatio Alger Jr. ~ Store Boy, The ~ 29.dat
Chapter XXX. Ben "Goes West"|||Horatio Alger Jr. ~ Store Boy, The ~ 30.dat
Chapter XXXI. Mr. Jackson Receives a Call|||Horatio Alger Jr. ~ Store Boy, The ~ 31.dat
Chapter XXXII. Ben Sells the Farm|||Horatio Alger Jr. ~ Store Boy, The ~ 32.dat
Chapter XXXIII. Good News|||Horatio Alger Jr. ~ Store Boy, The ~ 33.dat
Chapter XXXIV. Conrad Goes Into Wall Street|||Horatio Alger Jr. ~ Store Boy, The ~ 34.dat
Chapter XXXV. Turning the Tables|||Horatio Alger Jr. ~ Store Boy, The ~ 35.dat
Chapter XXXVI. A Letter from Rose Gardiner|||Horatio Alger Jr. ~ Store Boy, The ~ 36.dat
Chapter XXXVII. Ben's Visit to Pentonville|||Horatio Alger Jr. ~ Store Boy, The ~ 37.dat
Chapter XXXVIII. Conclusion|||Horatio Alger Jr. ~ Store Boy, The ~ 38.dat
