book title|Struggling Upward
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|40
Chapter I. The Waterbury Watch|||Horatio Alger Jr. ~ Struggling Upward ~ 1.dat
Chapter II. Tom Harper's Accident|||Horatio Alger Jr. ~ Struggling Upward ~ 2.dat
Chapter III. Randolph Gets the Watch|||Horatio Alger Jr. ~ Struggling Upward ~ 3.dat
Chapter IV. Luke's Night Adventure|||Horatio Alger Jr. ~ Struggling Upward ~ 4.dat
Chapter V. Luke Receives an Invitation|||Horatio Alger Jr. ~ Struggling Upward ~ 5.dat
Chapter VI. Preparing for the Party|||Horatio Alger Jr. ~ Struggling Upward ~ 6.dat
Chapter VII. Florence Grant's Party|||Horatio Alger Jr. ~ Struggling Upward ~ 7.dat
Chapter VIII. Miss Sprague Discovers a Secret|||Horatio Alger Jr. ~ Struggling Upward ~ 8.dat
Chapter IX. Luke Loses His Position|||Horatio Alger Jr. ~ Struggling Upward ~ 9.dat
Chapter X. Melinda Makes Mischief|||Horatio Alger Jr. ~ Struggling Upward ~ 10.dat
Chapter XI. Luke Is Arrested|||Horatio Alger Jr. ~ Struggling Upward ~ 11.dat
Chapter XII. Luke As a Prisoner|||Horatio Alger Jr. ~ Struggling Upward ~ 12.dat
Chapter XIII. In the Court-room|||Horatio Alger Jr. ~ Struggling Upward ~ 13.dat
Chapter XIV. An Important Witness|||Horatio Alger Jr. ~ Struggling Upward ~ 14.dat
Chapter XV. The Larkins Are in Luck|||Horatio Alger Jr. ~ Struggling Upward ~ 15.dat
Chapter XVI. Luke's Visit to New York|||Horatio Alger Jr. ~ Struggling Upward ~ 16.dat
Chapter XVII. Randolph Is Mystified|||Horatio Alger Jr. ~ Struggling Upward ~ 17.dat
Chapter XVIII. Mr. Duncan's Secret|||Horatio Alger Jr. ~ Struggling Upward ~ 18.dat
Chapter XIX. Effectlng a Loan|||Horatio Alger Jr. ~ Struggling Upward ~ 19.dat
Chapter XX. Luke Talks With a Capitalist|||Horatio Alger Jr. ~ Struggling Upward ~ 20.dat
Chapter XXI. The Dreaded Interview|||Horatio Alger Jr. ~ Struggling Upward ~ 21.dat
Chapter XXII. Luke Secures a New Friend|||Horatio Alger Jr. ~ Struggling Upward ~ 22.dat
Chapter XXIII. Randolph and His Creditor|||Horatio Alger Jr. ~ Struggling Upward ~ 23.dat
Chapter XXIV. A Commission for Luke|||Horatio Alger Jr. ~ Struggling Upward ~ 24.dat
Chapter XXV. Mr. J. Madison Coleman|||Horatio Alger Jr. ~ Struggling Upward ~ 25.dat
Chapter XXVI. The Ottawa House|||Horatio Alger Jr. ~ Struggling Upward ~ 26.dat
Chapter XXVII. Coleman Acts Susplciously|||Horatio Alger Jr. ~ Struggling Upward ~ 27.dat
Chapter XXVIII. Coleman's Little Plan|||Horatio Alger Jr. ~ Struggling Upward ~ 28.dat
Chapter XXIX. Mr. Coleman Is Foiled in His Attempt|||Horatio Alger Jr. ~ Struggling Upward ~ 29.dat
Chapter XXX. A Dlscovery|||Horatio Alger Jr. ~ Struggling Upward ~ 30.dat
Chapter XXXI. Tony Denton's Call|||Horatio Alger Jr. ~ Struggling Upward ~ 31.dat
Chapter XXXII. On the Way to the Black Hills|||Horatio Alger Jr. ~ Struggling Upward ~ 32.dat
Chapter XXXIII. Two Unexpected Champions|||Horatio Alger Jr. ~ Struggling Upward ~ 33.dat
Chapter XXXIV. Fenton's Gulch|||Horatio Alger Jr. ~ Struggling Upward ~ 34.dat
Chapter XXXV. Back in Groveton|||Horatio Alger Jr. ~ Struggling Upward ~ 35.dat
Chapter XXXVI. A Letter From Luke|||Horatio Alger Jr. ~ Struggling Upward ~ 36.dat
Chapter XXXVII. An Incident on the Cars|||Horatio Alger Jr. ~ Struggling Upward ~ 37.dat
Chapter XXXVIII. Luke's Return|||Horatio Alger Jr. ~ Struggling Upward ~ 38.dat
Chapter XXXIX. How Luke Was Received|||Horatio Alger Jr. ~ Struggling Upward ~ 39.dat
Chapter XL. The Bank Robber Is Found|||Horatio Alger Jr. ~ Struggling Upward ~ 40.dat
