book title|Try and Trust
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|35
Dedication|||Horatio Alger Jr. ~ Try and Trust ~ 1.dat
Chapter I. Around the Breakfast Table|||Horatio Alger Jr. ~ Try and Trust ~ 2.dat
Chapter II. Introducing the Hero|||Horatio Alger Jr. ~ Try and Trust ~ 3.dat
Chapter III. A Collision|||Horatio Alger Jr. ~ Try and Trust ~ 4.dat
Chapter IV. A Disagreeable Surprise|||Horatio Alger Jr. ~ Try and Trust ~ 5.dat
Chapter V. The Envelope|||Horatio Alger Jr. ~ Try and Trust ~ 6.dat
Chapter VI. On the Way|||Horatio Alger Jr. ~ Try and Trust ~ 7.dat
Chapter VII. A New Home|||Horatio Alger Jr. ~ Try and Trust ~ 8.dat
Chapter VIII. The Ghost in the Attic|||Horatio Alger Jr. ~ Try and Trust ~ 9.dat
Chapter IX. Exposing a Fraud|||Horatio Alger Jr. ~ Try and Trust ~ 10.dat
Chapter X. The Clouds Gather|||Horatio Alger Jr. ~ Try and Trust ~ 11.dat
Chapter XI. A Crisis|||Horatio Alger Jr. ~ Try and Trust ~ 12.dat
Chapter XII. Ralph the Ranger|||Horatio Alger Jr. ~ Try and Trust ~ 13.dat
Chapter XIII. A Moment of Peril|||Horatio Alger Jr. ~ Try and Trust ~ 14.dat
Chapter XIV. Taken Prisoner|||Horatio Alger Jr. ~ Try and Trust ~ 15.dat
Chapter XV. A Four-footed Foe|||Horatio Alger Jr. ~ Try and Trust ~ 16.dat
Chapter XVI. Just Too Late|||Horatio Alger Jr. ~ Try and Trust ~ 17.dat
Chapter XVII. New Acquaintances|||Horatio Alger Jr. ~ Try and Trust ~ 18.dat
Chapter XVIII. A Young Aristocrat|||Horatio Alger Jr. ~ Try and Trust ~ 19.dat
Chapter XIX. A Suspicious Character|||Horatio Alger Jr. ~ Try and Trust ~ 20.dat
Chapter XX. Facing a Burglar|||Horatio Alger Jr. ~ Try and Trust ~ 21.dat
Chapter XXI. Herbert's Reward|||Horatio Alger Jr. ~ Try and Trust ~ 22.dat
Chapter XXII. Robbed in the Night|||Horatio Alger Jr. ~ Try and Trust ~ 23.dat
Chapter XXIII. A Business Call|||Horatio Alger Jr. ~ Try and Trust ~ 24.dat
Chapter XXIV. Finding a Boarding Place|||Horatio Alger Jr. ~ Try and Trust ~ 25.dat
Chapter XXV. Getting a Situation|||Horatio Alger Jr. ~ Try and Trust ~ 26.dat
Chapter XXVI. A Family Council|||Horatio Alger Jr. ~ Try and Trust ~ 27.dat
Chapter XXVII. At the Concert|||Horatio Alger Jr. ~ Try and Trust ~ 28.dat
Chapter XXVIII. Peter Greenleaf Again|||Horatio Alger Jr. ~ Try and Trust ~ 29.dat
Chapter XXIX. Sparring|||Horatio Alger Jr. ~ Try and Trust ~ 30.dat
Chapter XXX. An Unexpected Blow|||Horatio Alger Jr. ~ Try and Trust ~ 31.dat
Chapter XXXI. Mr. Stanton Is Surprised|||Horatio Alger Jr. ~ Try and Trust ~ 32.dat
Chapter XXXII. Risen From the Dead|||Horatio Alger Jr. ~ Try and Trust ~ 33.dat
Chapter XXXIII. A Friend in Need|||Horatio Alger Jr. ~ Try and Trust ~ 34.dat
Chapter XXXIV. Conclusion|||Horatio Alger Jr. ~ Try and Trust ~ 35.dat
