book title|Walter Sherwood's Probation
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|41
Chapter I. Walter Sherwood's Letter|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 1.dat
Chapter II. Dr. Mack Gets Some Information|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 2.dat
Chapter III. A College Banquet|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 3.dat
Chapter IV. The Day After the Feast|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 4.dat
Chapter V. Walter Takes Matters Philosophically|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 5.dat
Chapter VI. True Friend and False|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 6.dat
Chapter VII. Walter's Experiment Begins|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 7.dat
Chapter VIII. Walter Buys a Watch|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 8.dat
Chapter IX. An Ingenious Scheme|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 9.dat
Chapter X. At the Indiana House|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 10.dat
Chapter XI. The Man From Dakota|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 11.dat
Chapter XII. In Search of Employment|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 12.dat
Chapter XIII. A Young Insurance Agent|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 13.dat
Chapter XIV. An Exciting Encounter|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 14.dat
Chapter XV. The Excitement Deepens|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 15.dat
Chapter XVI. Walter Goes Into a New Business|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 16.dat
Chapter XVII. Walter's Visitors|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 17.dat
Chapter XVIII. Walter Is Turned Adrift|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 18.dat
Chapter XIX. Walter Meets Professor Robinson|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 19.dat
Chapter XX. On the Road|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 20.dat
Chapter XXI. Miss Longwood's Party|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 21.dat
Chapter XXII. An Adventure|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 22.dat
Chapter XXIII. Walter and the Highwayman|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 23.dat
Chapter XXIV. An Attempt to Recover the Revolver|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 24.dat
Chapter XXV. Dick Ranney's Scheme|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 25.dat
Chapter XXVI. The Events of a Night|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 26.dat
Chapter XXVII. Walter Becomes a Capitalist|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 27.dat
Chapter XXVIII. Walter Goes Out of Business|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 28.dat
Chapter XXIX. Walter Buys a Horse|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 29.dat
Chapter XXX. Walter Finds Himself in a Tight Place|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 30.dat
Chapter XXXI. In the Lockup|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 31.dat
Chapter XXXII. An Awful Moment|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 32.dat
Chapter XXXIII. Walter Saves Another's Life|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 33.dat
Chapter XXXIV. A Terrible Ordeal|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 34.dat
Chapter XXXV. The Empty Jail|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 35.dat
Chapter XXXVI. Colonel Richard Owen|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 36.dat
Chapter XXXVII. Walter Is Vindicated|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 37.dat
Chapter XXXVIII. An Opening At Shelby|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 38.dat
Chapter XXXIX. The New Master|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 39.dat
Chapter XL. Ben Is Subdued|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 40.dat
Chapter XLI. Conclusion|||Horatio Alger Jr. ~ Walter Sherwood's Probation ~ 41.dat
