book title|Young Explorer, The
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|32
Chapter I. Ben's Inheritance.|||Horatio Alger Jr. ~ Young Explorer, The ~ 1.dat
Chapter II. Deacon Pitkin's Offer.|||Horatio Alger Jr. ~ Young Explorer, The ~ 2.dat
Chapter III. Sam Sturgis' New Idea.|||Horatio Alger Jr. ~ Young Explorer, The ~ 3.dat
Chapter IV. A Brilliant Chance.|||Horatio Alger Jr. ~ Young Explorer, The ~ 4.dat
Chapter V. In Search of a Place.|||Horatio Alger Jr. ~ Young Explorer, The ~ 5.dat
Chapter VI. Mr. Pitch, the Senior Partner.|||Horatio Alger Jr. ~ Young Explorer, The ~ 6.dat
Chapter VII. Ben's Dinner-guest.|||Horatio Alger Jr. ~ Young Explorer, The ~ 7.dat
Chapter VIII. A Strange Acquaintance.|||Horatio Alger Jr. ~ Young Explorer, The ~ 8.dat
Chapter IX. At the Astor House.|||Horatio Alger Jr. ~ Young Explorer, The ~ 9.dat
Chapter X. Ben Receives a Call.|||Horatio Alger Jr. ~ Young Explorer, The ~ 10.dat
Chapter XI. Miss Sinclair's Stratagem.|||Horatio Alger Jr. ~ Young Explorer, The ~ 11.dat
Chapter XII. In San Francisco.|||Horatio Alger Jr. ~ Young Explorer, The ~ 12.dat
Chapter XIII. Preliminary Arrangements.|||Horatio Alger Jr. ~ Young Explorer, The ~ 13.dat
Chapter XIV. The Canon Hotel.|||Horatio Alger Jr. ~ Young Explorer, The ~ 14.dat
Chapter XV. A Polite Hostess.|||Horatio Alger Jr. ~ Young Explorer, The ~ 15.dat
Chapter XVI. A New Acquaintance.|||Horatio Alger Jr. ~ Young Explorer, The ~ 16.dat
Chapter XVII. A Tight Place.|||Horatio Alger Jr. ~ Young Explorer, The ~ 17.dat
Chapter XVIII. An Evening Call.|||Horatio Alger Jr. ~ Young Explorer, The ~ 18.dat
Chapter XIX. Ben's Midnight Excursion.|||Horatio Alger Jr. ~ Young Explorer, The ~ 19.dat
Chapter XX. A Thief's Disappointment.|||Horatio Alger Jr. ~ Young Explorer, The ~ 20.dat
Chapter XXI. Ben's Savings-bank.|||Horatio Alger Jr. ~ Young Explorer, The ~ 21.dat
Chapter XXII. The Arrival At Murphy's.|||Horatio Alger Jr. ~ Young Explorer, The ~ 22.dat
Chapter XXIII. Among the Sierras.|||Horatio Alger Jr. ~ Young Explorer, The ~ 23.dat
Chapter XXIV. Beaten At His Own Game.|||Horatio Alger Jr. ~ Young Explorer, The ~ 24.dat
Chapter XXV. The Horse-thieves.|||Horatio Alger Jr. ~ Young Explorer, The ~ 25.dat
Chapter XXVI. What Next?|||Horatio Alger Jr. ~ Young Explorer, The ~ 26.dat
Chapter XXVII. Ki Sing.|||Horatio Alger Jr. ~ Young Explorer, The ~ 27.dat
Chapter XXVIII. The Duel of the Miners.|||Horatio Alger Jr. ~ Young Explorer, The ~ 28.dat
Chapter XXIX. Chinese Cheap Labor.|||Horatio Alger Jr. ~ Young Explorer, The ~ 29.dat
Chapter XXX. A Midnight Visit.|||Horatio Alger Jr. ~ Young Explorer, The ~ 30.dat
Chapter XXXI. On the Mountain Path.|||Horatio Alger Jr. ~ Young Explorer, The ~ 31.dat
Chapter XXXII. The Mountain Cabin.|||Horatio Alger Jr. ~ Young Explorer, The ~ 32.dat
