book title|Young Musician, The
author first name | Horatio
author last name | Alger Jr.
author full name | Horatio Alger Jr.
author formal name | Alger Jr., Horatio
Section|3|Fiction/Children
Chapter Count|44
Chapter I. A Candidate for the Poorhouse.|||Horatio Alger Jr. ~ Young Musician, The ~ 1.dat
Chapter II. Philip At Home.|||Horatio Alger Jr. ~ Young Musician, The ~ 2.dat
Chapter III. Nick Holden's Call.|||Horatio Alger Jr. ~ Young Musician, The ~ 3.dat
Chapter IV. The Auction.|||Horatio Alger Jr. ~ Young Musician, The ~ 4.dat
Chapter V. An Alliance Against Philip.|||Horatio Alger Jr. ~ Young Musician, The ~ 5.dat
Chapter VI. Fuss About a Fiddle.|||Horatio Alger Jr. ~ Young Musician, The ~ 6.dat
Chapter VII. Mr. Joe Tucker|||Horatio Alger Jr. ~ Young Musician, The ~ 7.dat
Chapter XIII. In the Enemy's Hands|||Horatio Alger Jr. ~ Young Musician, The ~ 8.dat
Chapter IX. The Poorhouse.|||Horatio Alger Jr. ~ Young Musician, The ~ 9.dat
Chapter X. Bad Tidings.|||Horatio Alger Jr. ~ Young Musician, The ~ 10.dat
Chapter XI. Philip's New Room.|||Horatio Alger Jr. ~ Young Musician, The ~ 11.dat
Chapter XII. A Pauper's Meal|||Horatio Alger Jr. ~ Young Musician, The ~ 12.dat
Chapter XIII. A Friendly Mission.|||Horatio Alger Jr. ~ Young Musician, The ~ 13.dat
Chapter XIV. Philip Makes His Escape.|||Horatio Alger Jr. ~ Young Musician, The ~ 14.dat
Chapter XV. Escape and Flight.|||Horatio Alger Jr. ~ Young Musician, The ~ 15.dat
Chapter XVI. A Night Adventure.|||Horatio Alger Jr. ~ Young Musician, The ~ 16.dat
Chapter XVII. A Reformed Burglar.|||Horatio Alger Jr. ~ Young Musician, The ~ 17.dat
Chapter XVIII. A Professional Engagement.|||Horatio Alger Jr. ~ Young Musician, The ~ 18.dat
Chapter XIX. New Acquaintances.|||Horatio Alger Jr. ~ Young Musician, The ~ 19.dat
Chapter XX. A Lively Evening.|||Horatio Alger Jr. ~ Young Musician, The ~ 20.dat
Chapter XXI. Fortune Smiles Again.|||Horatio Alger Jr. ~ Young Musician, The ~ 21.dat
Chapter XXII. Rival Musicians.|||Horatio Alger Jr. ~ Young Musician, The ~ 22.dat
Chapter XXIII. An Hour of Triumph.|||Horatio Alger Jr. ~ Young Musician, The ~ 23.dat
Chapter XXIV. Lorenzo Riccabocca.|||Horatio Alger Jr. ~ Young Musician, The ~ 24.dat
Chapter XXV. A Change of Name.|||Horatio Alger Jr. ~ Young Musician, The ~ 25.dat
Chapter XXVI. A Promising Plan.|||Horatio Alger Jr. ~ Young Musician, The ~ 26.dat
Chapter XXVII. Unexpected Honors.|||Horatio Alger Jr. ~ Young Musician, The ~ 27.dat
Chapter XXVIII. A Triumphant Success.|||Horatio Alger Jr. ~ Young Musician, The ~ 28.dat
Chapter XXIX. Beset by Creditors.|||Horatio Alger Jr. ~ Young Musician, The ~ 29.dat
Chapter XXX. A Timely Gift.|||Horatio Alger Jr. ~ Young Musician, The ~ 30.dat
Chapter XXXI. The Professor's Flight.|||Horatio Alger Jr. ~ Young Musician, The ~ 31.dat
Chapter XXXII. The Race Across Fields.|||Horatio Alger Jr. ~ Young Musician, The ~ 32.dat
Chapter XXXIII. The Lost Wallet.|||Horatio Alger Jr. ~ Young Musician, The ~ 33.dat
Chapter XXXIV. A New Business Proposal.|||Horatio Alger Jr. ~ Young Musician, The ~ 34.dat
Chapter XXXV. Squire Pope Is Amazed.|||Horatio Alger Jr. ~ Young Musician, The ~ 35.dat
Chapter XXXVI. The Pretended Guardian.|||Horatio Alger Jr. ~ Young Musician, The ~ 36.dat
Chapter XXXVII. His Own Master.|||Horatio Alger Jr. ~ Young Musician, The ~ 37.dat
Chapter XXXVIII. An Offer Declined.|||Horatio Alger Jr. ~ Young Musician, The ~ 38.dat
Chapter XXXIX. An Ambitious Wayfarer.|||Horatio Alger Jr. ~ Young Musician, The ~ 39.dat
Chapter XL. The Indian Hunter.|||Horatio Alger Jr. ~ Young Musician, The ~ 40.dat
Chapter XLI. An Adventure in the Woods.|||Horatio Alger Jr. ~ Young Musician, The ~ 41.dat
Chapter XLII. An Indian At Last.|||Horatio Alger Jr. ~ Young Musician, The ~ 42.dat
Chapter XLIII. A Welcome Letter.|||Horatio Alger Jr. ~ Young Musician, The ~ 43.dat
Chapter XLIV. A Fresh Start.|||Horatio Alger Jr. ~ Young Musician, The ~ 44.dat
