author first name | Jane
author last name | Austen
author full name | Jane Austen
author formal name | Austen, Jane
book title | Emma
Section|1|Fiction/General
Chapter Count|55
Chapter I||Volume I|Jane Austen ~ Emma ~ 1.dat
Chapter II||Volume I|Jane Austen ~ Emma ~ 2.dat
Chapter III||Volume I|Jane Austen ~ Emma ~ 3.dat
Chapter IV||Volume I|Jane Austen ~ Emma ~ 4.dat
Chapter V||Volume I|Jane Austen ~ Emma ~ 5.dat
Chapter VI||Volume I|Jane Austen ~ Emma ~ 6.dat
Chapter VII||Volume I|Jane Austen ~ Emma ~ 7.dat
Chapter VIII||Volume I|Jane Austen ~ Emma ~ 8.dat
Chapter IX||Volume I|Jane Austen ~ Emma ~ 9.dat
Chapter X||Volume I|Jane Austen ~ Emma ~ 10.dat
Chapter XI||Volume I|Jane Austen ~ Emma ~ 11.dat
Chapter XII||Volume I|Jane Austen ~ Emma ~ 12.dat
Chapter XIII||Volume I|Jane Austen ~ Emma ~ 13.dat
Chapter XIV||Volume I|Jane Austen ~ Emma ~ 14.dat
Chapter XV||Volume I|Jane Austen ~ Emma ~ 15.dat
Chapter XVI||Volume I|Jane Austen ~ Emma ~ 16.dat
Chapter XVII||Volume I|Jane Austen ~ Emma ~ 17.dat
Chapter XVIII||Volume I|Jane Austen ~ Emma ~ 18.dat
Chapter I||Volume II|Jane Austen ~ Emma ~ 19.dat
Chapter II||Volume II|Jane Austen ~ Emma ~ 20.dat
Chapter III||Volume II|Jane Austen ~ Emma ~ 21.dat
Chapter IV||Volume II|Jane Austen ~ Emma ~ 22.dat
Chapter V||Volume II|Jane Austen ~ Emma ~ 23.dat
Chapter VI||Volume II|Jane Austen ~ Emma ~ 24.dat
Chapter VII||Volume II|Jane Austen ~ Emma ~ 25.dat
Chapter VIII||Volume II|Jane Austen ~ Emma ~ 26.dat
Chapter IX||Volume II|Jane Austen ~ Emma ~ 27.dat
Chapter X||Volume II|Jane Austen ~ Emma ~ 28.dat
Chapter XI||Volume II|Jane Austen ~ Emma ~ 29.dat
Chapter XII||Volume II|Jane Austen ~ Emma ~ 30.dat
Chapter XIII||Volume II|Jane Austen ~ Emma ~ 31.dat
Chapter XIV||Volume II|Jane Austen ~ Emma ~ 32.dat
Chapter XV||Volume II|Jane Austen ~ Emma ~ 33.dat
Chapter XVI||Volume II|Jane Austen ~ Emma ~ 34.dat
Chapter XVII||Volume II|Jane Austen ~ Emma ~ 35.dat
Chapter XVIII||Volume II|Jane Austen ~ Emma ~ 36.dat
Chapter I||Volume III|Jane Austen ~ Emma ~ 37.dat
Chapter II||Volume III|Jane Austen ~ Emma ~ 38.dat
Chapter III||Volume III|Jane Austen ~ Emma ~ 39.dat
Chapter IV||Volume III|Jane Austen ~ Emma ~ 40.dat
Chapter V||Volume III|Jane Austen ~ Emma ~ 41.dat
Chapter VI||Volume III|Jane Austen ~ Emma ~ 42.dat
Chapter VII||Volume III|Jane Austen ~ Emma ~ 43.dat
Chapter VIII||Volume III|Jane Austen ~ Emma ~ 44.dat
Chapter IX||Volume III|Jane Austen ~ Emma ~ 45.dat
Chapter X||Volume III|Jane Austen ~ Emma ~ 46.dat
Chapter XI||Volume III|Jane Austen ~ Emma ~ 47.dat
Chapter XII||Volume III|Jane Austen ~ Emma ~ 48.dat
Chapter XIII||Volume III|Jane Austen ~ Emma ~ 49.dat
Chapter XIV||Volume III|Jane Austen ~ Emma ~ 50.dat
Chapter XV||Volume III|Jane Austen ~ Emma ~ 51.dat
Chapter XVI||Volume III|Jane Austen ~ Emma ~ 52.dat
Chapter XVII||Volume III|Jane Austen ~ Emma ~ 53.dat
Chapter XVIII||Volume III|Jane Austen ~ Emma ~ 54.dat
Chapter XIX||Volume III|Jane Austen ~ Emma ~ 55.dat
