author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
book title | Free Rangers, The
Section|13|Fiction/Historical
Chapter Count|22
Chapter I. The Call|||Joseph A. Altsheler ~ Free Rangers, The ~ 1.dat
Chapter II. A Forest Envoy|||Joseph A. Altsheler ~ Free Rangers, The ~ 2.dat
Chapter III. An Invisible Chase|||Joseph A. Altsheler ~ Free Rangers, The ~ 3.dat
Chapter IV. Taking a Galleon|||Joseph A. Altsheler ~ Free Rangers, The ~ 4.dat
Chapter V. On the Great River|||Joseph A. Altsheler ~ Free Rangers, The ~ 5.dat
Chapter VI. Battle and Storm|||Joseph A. Altsheler ~ Free Rangers, The ~ 6.dat
Chapter VII. The Lone Voyager|||Joseph A. Altsheler ~ Free Rangers, The ~ 7.dat
Chapter VIII. The Chateau of Beaulieu|||Joseph A. Altsheler ~ Free Rangers, The ~ 8.dat
Chapter IX. Paul and the Spaniard|||Joseph A. Altsheler ~ Free Rangers, The ~ 9.dat
Chapter X. A Barbaric Ordeal|||Joseph A. Altsheler ~ Free Rangers, The ~ 10.dat
Chapter XI. The Spaniard's Offer|||Joseph A. Altsheler ~ Free Rangers, The ~ 11.dat
Chapter XII. The Shadow in the Forest|||Joseph A. Altsheler ~ Free Rangers, The ~ 12.dat
Chapter XIII. The White Stallion|||Joseph A. Altsheler ~ Free Rangers, The ~ 13.dat
Chapter XIV. New Orleans|||Joseph A. Altsheler ~ Free Rangers, The ~ 14.dat
Chapter XV. Before Bernardo Galvez|||Joseph A. Altsheler ~ Free Rangers, The ~ 15.dat
Chapter XVI. In Prison|||Joseph A. Altsheler ~ Free Rangers, The ~ 16.dat
Chapter XVII. The Flaw in the Armor|||Joseph A. Altsheler ~ Free Rangers, The ~ 17.dat
Chapter XVIII. Northward With the Fleet|||Joseph A. Altsheler ~ Free Rangers, The ~ 18.dat
Chapter XIX. The Battle of the Bank|||Joseph A. Altsheler ~ Free Rangers, The ~ 19.dat
Chapter XX. The Battle of the Bayou|||Joseph A. Altsheler ~ Free Rangers, The ~ 20.dat
Chapter XXI. The Defense of the Five|||Joseph A. Altsheler ~ Free Rangers, The ~ 21.dat
Chapter XXII. The Chosen Task|||Joseph A. Altsheler ~ Free Rangers, The ~ 22.dat
