author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
book title | Guns of Bull Run, The
Section|13|Fiction/Historical
Chapter Count|16
Chapter I. News From Charleston|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 1.dat
Chapter II. A Courier to the South|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 2.dat
Chapter III. The Heart of Rebellion|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 3.dat
Chapter IV. The First Capital|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 4.dat
Chapter V. The New President|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 5.dat
Chapter VI. Sumter|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 6.dat
Chapter VII. The Homecoming|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 7.dat
Chapter VIII. The Fight for a State|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 8.dat
Chapter IX. The River Journey|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 9.dat
Chapter X. Over the Mountains|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 10.dat
Chapter XI. In Virginia|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 11.dat
Chapter XII. The Fight for the Fort|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 12.dat
Chapter XIII. The Seeker for Help|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 13.dat
Chapter XIV. In Washington|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 14.dat
Chapter XV. Battle's Eve|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 15.dat
Chapter XVI. Bull Run|||Joseph A. Altsheler ~ Guns of Bull Run, The ~ 16.dat
