author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
book title | Guns of Shiloh, The
Section|13|Fiction/Historical
Chapter Count|17
Foreword|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 1.dat
Chapter I. In Flight|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 2.dat
Chapter II. The Mountain Lights|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 3.dat
Chapter III. The Telegraph Station|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 4.dat
Chapter IV. The Fight in the Pass|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 5.dat
Chapter V. The Singer of the Hills|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 6.dat
Chapter VI. Mill Spring|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 7.dat
Chapter VII. The Messenger|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 8.dat
Chapter VIII. A Meeting at Night|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 9.dat
Chapter IX. Taking a Fort|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 10.dat
Chapter X. Before Donelson|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 11.dat
Chapter XI. The Southern Attack|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 12.dat
Chapter XII. Grant's Great Victory|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 13.dat
Chapter XIII. In the Forest|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 14.dat
Chapter XIV. The Dark Eve of Shiloh|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 15.dat
Chapter XV. The Red Dawn of Shiloh|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 16.dat
Chapter XVI. The Fierce Finish of Shiloh|||Joseph A. Altsheler ~ Guns of Shiloh, The ~ 17.dat
