book title|Hosts of the Air, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|14
Chapter I. The Trench|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 1.dat
Chapter II. The Young Austrian|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 2.dat
Chapter III. Julie's Coming|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 3.dat
Chapter IV. The Hotel at Chastel|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 4.dat
Chapter V. The Register|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 5.dat
Chapter VI. John's Resolve|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 6.dat
Chapter VII. The Pursuit|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 7.dat
Chapter VIII. Into Germany|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 8.dat
Chapter IX. The Great Castle|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 9.dat
Chapter X. The Fair Captive|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 10.dat
Chapter XI. The Efficient Hostler|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 11.dat
Chapter XII. The Hunting Lodge|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 12.dat
Chapter XIII. The Dangerous Flight|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 13.dat
Chapter XIV. The Happy Escape|||Joseph A. Altsheler ~ Hosts of the Air, The ~ 14.dat
