book title|Hunters of the Hills, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|16
Chapter I. The Three Friends|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 1.dat
Chapter II. St. Luc|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 2.dat
Chapter III. The Tomahawk|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 3.dat
Chapter IV. The Intelligent Canoe|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 4.dat
Chapter V. The Mohawk Chief|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 5.dat
Chapter VI. The Two Frenchmen|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 6.dat
Chapter VII. New France|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 7.dat
Chapter VIII. Guests of the Enemy|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 8.dat
Chapter IX. At the Inn|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 9.dat
Chapter X. The Meeting|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 10.dat
Chapter XI. Bigot's Ball|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 11.dat
Chapter XII. The Hunter and the Bravo|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 12.dat
Chapter XIII. The Bowmen|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 13.dat
Chapter XIV. On Champlain|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 14.dat
Chapter XV. The Vale of Onondaga|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 15.dat
Chapter XVI. The Great Test|||Joseph A. Altsheler ~ Hunters of the Hills, The ~ 16.dat
