book title|Masters of the Peaks, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|14
Chapter I. In the Deep Woods|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 1.dat
Chapter II. On the Ridges|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 2.dat
Chapter III. The Brave Defense|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 3.dat
Chapter IV. The Gods At Play|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 4.dat
Chapter V. Taming a Spy|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 5.dat
Chapter VI. Pupils of the Bear|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 6.dat
Chapter VII. The Sleeping Sentinels|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 7.dat
Chapter VIII. Before Montcalm|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 8.dat
Chapter IX. The Sign of the Bear|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 9.dat
Chapter X. The Flight of the Two|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 10.dat
Chapter XI. The Mystic Voyage|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 11.dat
Chapter XII. The Marvelous Trailer|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 12.dat
Chapter XIII. Reading the Signs|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 13.dat
Chapter XIV. St. Luc's Revenge|||Joseph A. Altsheler ~ Masters of the Peaks, The ~ 14.dat
