book title|Rock of Chickamauga, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|15
Chapter I. At Bellevue|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 1.dat
Chapter II. Forrest|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 2.dat
Chapter III. Grant Moves|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 3.dat
Chapter IV. Dick's Mission|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 4.dat
Chapter V. Hunted|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 5.dat
Chapter VI. A Bold Attack|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 6.dat
Chapter VII. The Little Capital|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 7.dat
Chapter VIII. Champion Hill|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 8.dat
Chapter IX. The Open Door|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 9.dat
Chapter X. The Great Assault|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 10.dat
Chapter XI. The Taking of Vicksburg|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 11.dat
Chapter XII. An Affair of the Mountains|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 12.dat
Chapter XIII. The River of Death|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 13.dat
Chapter XIV. The Rock of Chickamauga|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 14.dat
Chapter XV. Beside the Brook|||Joseph A. Altsheler ~ Rock of Chickamauga, The ~ 15.dat
