book title|Scouts of Stonewall, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|16
Chapter I. In the Valley|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 1.dat
Chapter II. The Foot Cavalry|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 2.dat
Chapter III. Stonewall Jackson's March|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 3.dat
Chapter IV. War and Waiting|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 4.dat
Chapter V. The Northern Advance|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 5.dat
Chapter VI. Kernstown|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 6.dat
Chapter VII. On the Ridges|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 7.dat
Chapter VIII. The Mountain Battle|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 8.dat
Chapter IX. Turning on the Foe|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 9.dat
Chapter X. Winchester|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 10.dat
Chapter XI. The Night Ride|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 11.dat
Chapter XII. The Closing Circle|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 12.dat
Chapter XIII. The Sullen Retreat|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 13.dat
Chapter XIV. The Double Battle|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 14.dat
Chapter XV. The Seven Days|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 15.dat
Appendix: Transcription Notes:|||Joseph A. Altsheler ~ Scouts of Stonewall, The ~ 16.dat
