author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
book title | Scouts of the Valley, The
Section|13|Fiction/Historical
Chapter Count|24
Chapter I. The Lone Canoe|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 1.dat
Chapter II. The Mysterious Hand|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 2.dat
Chapter III. The Hut on the Islet|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 3.dat
Chapter IV. The Red Chiefs|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 4.dat
Chapter V. The Iroquois Town|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 5.dat
Chapter VI. The Evil Spirit's Work|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 6.dat
Chapter VII. Catharine Montour|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 7.dat
Chapter VIII. A Change of Tenants|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 8.dat
Chapter IX. Wyoming|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 9.dat
Chapter X. The Bloody Rock|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 10.dat
Chapter XI. The Melancholy Flight|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 11.dat
Chapter XII. The Shades of Death|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 12.dat
Chapter XIII. A Forest Page|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 13.dat
Chapter XIV. The Pursuit on the River|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 14.dat
Chapter XV. "The Alcove"|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 15.dat
Chapter XVI. The First Blow|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 16.dat
Chapter XVII. The Deserted Cabin|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 17.dat
Chapter XVIII. Henry's Slide|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 18.dat
Chapter XIX. The Safe Return|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 19.dat
Chapter XX. A Gloomy Council|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 20.dat
Chapter XXI. Battle of the Chemung|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 21.dat
Chapter XXII. Little Beard's Town|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 22.dat
Chapter XXIII. The Final Fight|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 23.dat
Chapter XXIV. Down the Ohio|||Joseph A. Altsheler ~ Scouts of the Valley, The ~ 24.dat
