book title|Shades of the Wilderness, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|16
Chapter I. The Southern Retreat|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 1.dat
Chapter II. The Northern Spy|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 2.dat
Chapter III. The Flooded River|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 3.dat
Chapter IV. A Herald to Lee|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 4.dat
Chapter V. The Dangerous Road|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 5.dat
Chapter VI. Tests of Courage|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 6.dat
Chapter VII. In the Wagon|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 7.dat
Chapter VIII. The Crossing|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 8.dat
Chapter IX. In Society|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 9.dat
Chapter X. The Missing Paper|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 10.dat
Chapter XI. A Vain Pursuit|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 11.dat
Chapter XII. In Winter Quarters|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 12.dat
Chapter XIII. The Coming of Grant|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 13.dat
Chapter XIV. The Ghostly Ride|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 14.dat
Chapter XV. The Wilderness|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 15.dat
Chapter XVI. Spottsylvania|||Joseph A. Altsheler ~ Shades of the Wilderness, The ~ 16.dat
