author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
book title | Star of Gettysburg, The
Section|13|Fiction/Historical
Chapter Count|13
Chapter I. The Head of the Family|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 1.dat
Chapter II. Ahorse With Sherburne|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 2.dat
Chapter III. Jackson Moves|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 3.dat
Chapter IV. On the Rappahannock|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 4.dat
Chapter V. Fredericksburg|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 5.dat
Chapter VI. A Christmas Dinner|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 6.dat
Chapter VII. Jeb Stuart's Ball|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 7.dat
Chapter VIII. In the Wilderness|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 8.dat
Chapter IX. Chancellorsville|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 9.dat
Chapter X. The Northern March|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 10.dat
Chapter XI. The Cavalry Combat|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 11.dat
Chapter XII. The Zenith of the South|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 12.dat
Chapter XIII. Gettysburg|||Joseph A. Altsheler ~ Star of Gettysburg, The ~ 13.dat
