book title|Sword of Antietam, The
author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
Section|13|Fiction/Historical
Chapter Count|15
Chapter I. Cedar Mountain|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 1.dat
Chapter II. At the Capital|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 2.dat
Chapter III. Beside the River|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 3.dat
Chapter IV. Springing the Trap|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 4.dat
Chapter V. The Second Manassas|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 5.dat
Chapter VI. The Mournful Forest|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 6.dat
Chapter VII. Orders No. 191|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 7.dat
Chapter VIII. The Duel in the Pass|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 8.dat
Chapter IX. Across the Stream|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 9.dat
Chapter X. Antietam|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 10.dat
Chapter XI. A Family Affair|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 11.dat
Chapter XII. Through the Bluegrass|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 12.dat
Chapter XIII. Perryville|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 13.dat
Chapter XIV. Seeking Bragg|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 14.dat
Chapter XV. Stone River|||Joseph A. Altsheler ~ Sword of Antietam, The ~ 15.dat
