author first name | Joseph A.
author last name | Altsheler
author full name | Joseph A. Altsheler
author formal name | Altsheler, Joseph A.
book title | Young Trailers, The
Section|13|Fiction/Historical
Chapter Count|19
Chapter I. Into the Unknown|||Joseph A. Altsheler ~ Young Trailers, The ~ 1.dat
Chapter II. The First Great Exploit|||Joseph A. Altsheler ~ Young Trailers, The ~ 2.dat
Chapter III. Lost in the Wilderness|||Joseph A. Altsheler ~ Young Trailers, The ~ 3.dat
Chapter IV. The Haunted Forest|||Joseph A. Altsheler ~ Young Trailers, The ~ 4.dat
Chapter V. Afloat|||Joseph A. Altsheler ~ Young Trailers, The ~ 5.dat
Chapter VI. The Voice of the Woods|||Joseph A. Altsheler ~ Young Trailers, The ~ 6.dat
Chapter VII. The Giant Bones|||Joseph A. Altsheler ~ Young Trailers, The ~ 7.dat
Chapter VIII. The Wild Turkey's Gobble|||Joseph A. Altsheler ~ Young Trailers, The ~ 8.dat
Chapter IX. The Escape|||Joseph A. Altsheler ~ Young Trailers, The ~ 9.dat
Chapter X. The Cave Dust|||Joseph A. Altsheler ~ Young Trailers, The ~ 10.dat
Chapter XI. The Forest Spell|||Joseph A. Altsheler ~ Young Trailers, The ~ 11.dat
Chapter XII. The Primitive Man|||Joseph A. Altsheler ~ Young Trailers, The ~ 12.dat
Chapter XIII. The Call of Duty|||Joseph A. Altsheler ~ Young Trailers, The ~ 13.dat
Chapter XIV. The Return|||Joseph A. Altsheler ~ Young Trailers, The ~ 14.dat
Chapter XV. The Siege|||Joseph A. Altsheler ~ Young Trailers, The ~ 15.dat
Chapter XVI. A Girl's Way|||Joseph A. Altsheler ~ Young Trailers, The ~ 16.dat
Chapter XVII. The Battle in the Forest|||Joseph A. Altsheler ~ Young Trailers, The ~ 17.dat
Chapter XVIII. The Test|||Joseph A. Altsheler ~ Young Trailers, The ~ 18.dat
Chapter XIX. An Errand and a Friend|||Joseph A. Altsheler ~ Young Trailers, The ~ 19.dat
