author first name | Louisa May
author last name | Alcott
author full name | Louisa May Alcott
author formal name | Alcott, Louisa May
book title | An Old-fashioned Girl
Section|17|Fiction/Young-Adults
Chapter Count|19
Chapter I. Polly Arrives|||Louisa May Alcott ~ An Old-fashioned Girl ~ 1.dat
Chapter II. New Fashions|||Louisa May Alcott ~ An Old-fashioned Girl ~ 2.dat
Chapter III. Polly's Troubles|||Louisa May Alcott ~ An Old-fashioned Girl ~ 3.dat
Chapter IV. Little Things|||Louisa May Alcott ~ An Old-fashioned Girl ~ 4.dat
Chapter V. Scrapes|||Louisa May Alcott ~ An Old-fashioned Girl ~ 5.dat
Chapter VI. Grandma|||Louisa May Alcott ~ An Old-fashioned Girl ~ 6.dat
Chapter VII. Good-By|||Louisa May Alcott ~ An Old-fashioned Girl ~ 7.dat
Chapter VIII. Six Years Afterward|||Louisa May Alcott ~ An Old-fashioned Girl ~ 8.dat
Chapter IX. Lessons|||Louisa May Alcott ~ An Old-fashioned Girl ~ 9.dat
Chapter X. Brothers and Sisters|||Louisa May Alcott ~ An Old-fashioned Girl ~ 10.dat
Chapter XI. Needles and Tongues|||Louisa May Alcott ~ An Old-fashioned Girl ~ 11.dat
Chapter XII. Forbidden Fruit|||Louisa May Alcott ~ An Old-fashioned Girl ~ 12.dat
Chapter XIII. The Sunny Side|||Louisa May Alcott ~ An Old-fashioned Girl ~ 13.dat
Chapter XIV. Nipped in the Bud|||Louisa May Alcott ~ An Old-fashioned Girl ~ 14.dat
Chapter XV. Breakers Ahead|||Louisa May Alcott ~ An Old-fashioned Girl ~ 15.dat
Chapter XVI. A Dress Parade|||Louisa May Alcott ~ An Old-fashioned Girl ~ 16.dat
Chapter XVII. Playing Grandmother|||Louisa May Alcott ~ An Old-fashioned Girl ~ 17.dat
Chapter XVIII. The Woman Who Did Not Dare|||Louisa May Alcott ~ An Old-fashioned Girl ~ 18.dat
Chapter XIX. Tom's Success|||Louisa May Alcott ~ An Old-fashioned Girl ~ 19.dat
