author first name | Samuel Hopkins
author last name | Adams
author full name | Samuel Hopkins Adams
author formal name | Adams, Samuel Hopkins
book title | Average Jones
Section|1|Fiction/General
Chapter Count|11
Chapter I. The B-Flat Trombone|||Samuel Hopkins Adams ~ Average Jones ~ 1.dat
Chapter II. Red Dot|||Samuel Hopkins Adams ~ Average Jones ~ 2.dat
Chapter III. Open Trail|||Samuel Hopkins Adams ~ Average Jones ~ 3.dat
Chapter IV. The Mercy Sign-One|||Samuel Hopkins Adams ~ Average Jones ~ 4.dat
Chapter V. The Mercy Sign--Two|||Samuel Hopkins Adams ~ Average Jones ~ 5.dat
Chapter VI. Blue Fires|||Samuel Hopkins Adams ~ Average Jones ~ 6.dat
Chapter VII. Pin-Pricks|||Samuel Hopkins Adams ~ Average Jones ~ 7.dat
Chapter VIII. Big Print|||Samuel Hopkins Adams ~ Average Jones ~ 8.dat
Chapter IX. The Man Who Spoke Latin|||Samuel Hopkins Adams ~ Average Jones ~ 9.dat
Chapter X. The One Best Bet|||Samuel Hopkins Adams ~ Average Jones ~ 10.dat
Chapter XI. The Million-Dollar Dog|||Samuel Hopkins Adams ~ Average Jones ~ 11.dat
