book title|Marching Men
author first name | Sherwood
author last name | Anderson
author full name | Sherwood Anderson
author formal name | Anderson, Sherwood
Section|13|Fiction/Historical
Chapter Count|35
Chapter I||Book I|Sherwood Anderson ~ Marching Men ~ 1.dat
Chapter II||Book I|Sherwood Anderson ~ Marching Men ~ 2.dat
Chapter III||Book I|Sherwood Anderson ~ Marching Men ~ 3.dat
Chapter IV||Book I|Sherwood Anderson ~ Marching Men ~ 4.dat
Chapter I||Book II|Sherwood Anderson ~ Marching Men ~ 5.dat
Chapter II||Book II|Sherwood Anderson ~ Marching Men ~ 6.dat
Chapter III||Book II|Sherwood Anderson ~ Marching Men ~ 7.dat
Chapter IV||Book II|Sherwood Anderson ~ Marching Men ~ 8.dat
Chapter V||Book II|Sherwood Anderson ~ Marching Men ~ 9.dat
Chapter VI||Book II|Sherwood Anderson ~ Marching Men ~ 10.dat
Chapter VII||Book II|Sherwood Anderson ~ Marching Men ~ 11.dat
Chapter I||Book III|Sherwood Anderson ~ Marching Men ~ 12.dat
Chapter II||Book III|Sherwood Anderson ~ Marching Men ~ 13.dat
Chapter III||Book III|Sherwood Anderson ~ Marching Men ~ 14.dat
Chapter I||Book IV|Sherwood Anderson ~ Marching Men ~ 15.dat
Chapter II||Book IV|Sherwood Anderson ~ Marching Men ~ 16.dat
Chapter III||Book IV|Sherwood Anderson ~ Marching Men ~ 17.dat
Chapter IV||Book IV|Sherwood Anderson ~ Marching Men ~ 18.dat
Chapter V||Book IV|Sherwood Anderson ~ Marching Men ~ 19.dat
Chapter VI||Book IV|Sherwood Anderson ~ Marching Men ~ 20.dat
Chapter I||Book V|Sherwood Anderson ~ Marching Men ~ 21.dat
Chapter II||Book V|Sherwood Anderson ~ Marching Men ~ 22.dat
Chapter III||Book V|Sherwood Anderson ~ Marching Men ~ 23.dat
Chapter IV||Book V|Sherwood Anderson ~ Marching Men ~ 24.dat
Chapter V||Book V|Sherwood Anderson ~ Marching Men ~ 25.dat
Chapter VI||Book V|Sherwood Anderson ~ Marching Men ~ 26.dat
Chapter VII||Book V|Sherwood Anderson ~ Marching Men ~ 27.dat
Chapter I||Book VI|Sherwood Anderson ~ Marching Men ~ 28.dat
Chapter II||Book VI|Sherwood Anderson ~ Marching Men ~ 29.dat
Chapter III||Book VI|Sherwood Anderson ~ Marching Men ~ 30.dat
Chapter IV||Book VI|Sherwood Anderson ~ Marching Men ~ 31.dat
Chapter V||Book VI|Sherwood Anderson ~ Marching Men ~ 32.dat
Chapter VI||Book VI|Sherwood Anderson ~ Marching Men ~ 33.dat
Chapter I||Book VII|Sherwood Anderson ~ Marching Men ~ 34.dat
Chapter II||Book VII|Sherwood Anderson ~ Marching Men ~ 35.dat
