book title|Poor White
author first name | Sherwood
author last name | Anderson
author full name | Sherwood Anderson
author formal name | Anderson, Sherwood
Section|13|Fiction/Historical
Chapter Count|23
Chapter I||Book One|Sherwood Anderson ~ Poor White ~ 1.dat
Chapter II||Book One|Sherwood Anderson ~ Poor White ~ 2.dat
Chapter III||Book Two|Sherwood Anderson ~ Poor White ~ 3.dat
Chapter IV||Book Two|Sherwood Anderson ~ Poor White ~ 4.dat
Chapter V||Book Two|Sherwood Anderson ~ Poor White ~ 5.dat
Chapter VI||Book Two|Sherwood Anderson ~ Poor White ~ 6.dat
Chapter VII||Book Two|Sherwood Anderson ~ Poor White ~ 7.dat
Chapter VIII||Book Three|Sherwood Anderson ~ Poor White ~ 8.dat
Chapter IX||Book Three|Sherwood Anderson ~ Poor White ~ 9.dat
Chapter X||Book Three|Sherwood Anderson ~ Poor White ~ 10.dat
Chapter XI||Book Three|Sherwood Anderson ~ Poor White ~ 11.dat
Chapter XII||Book Four|Sherwood Anderson ~ Poor White ~ 12.dat
Chapter XIII||Book Four|Sherwood Anderson ~ Poor White ~ 13.dat
Chapter XIV||Book Four|Sherwood Anderson ~ Poor White ~ 14.dat
Chapter XV||Book Four|Sherwood Anderson ~ Poor White ~ 15.dat
Chapter XVI||Book Four|Sherwood Anderson ~ Poor White ~ 16.dat
Chapter XVII||Book Four|Sherwood Anderson ~ Poor White ~ 17.dat
Chapter XVIII||Book Four|Sherwood Anderson ~ Poor White ~ 18.dat
Chapter XIX||Book Four|Sherwood Anderson ~ Poor White ~ 19.dat
Chapter XX||Book Four|Sherwood Anderson ~ Poor White ~ 20.dat
Chapter XXI||Book Six|Sherwood Anderson ~ Poor White ~ 21.dat
Chapter XXII||Book Six|Sherwood Anderson ~ Poor White ~ 22.dat
Chapter XXIII||Book Six|Sherwood Anderson ~ Poor White ~ 23.dat
