book title|Winesburg, Ohio
author first name | Sherwood
author last name | Anderson
author full name | Sherwood Anderson
author formal name | Anderson, Sherwood
Section|13|Fiction/Historical
Chapter Count|23
Introduction|||Sherwood Anderson ~ Winesburg, Ohio ~ 1.dat
Preface||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 2.dat
Hands||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 3.dat
Paper Pills||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 4.dat
Mother||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 5.dat
The Philosopher||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 6.dat
Nobody Knows||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 7.dat
Godliness||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 8.dat
A Man of Ideas||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 9.dat
Adventure||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 10.dat
Respectability||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 11.dat
The Thinker||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 12.dat
Tandy||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 13.dat
The Strength of God||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 14.dat
The Teacher||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 15.dat
Loneliness||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 16.dat
An Awakening||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 17.dat
"Queer"||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 18.dat
The Untold Lie||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 19.dat
Drink||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 20.dat
Death||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 21.dat
Sophistication||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 22.dat
Departure||The Book of the Grotesque|Sherwood Anderson ~ Winesburg, Ohio ~ 23.dat
