author first name | Thomas Bailey
author last name | Aldrich
author full name | Thomas Bailey Aldrich
author formal name | Aldrich, Thomas Bailey
book title | Sisters' Tragedy, The
Section|4|other/Poetry
Chapter Count|34
The Sisters' Tragedy|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 1.dat
The Last Caesar|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 2.dat
In Westminster Abbey|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 3.dat
Alec Yeaton's Son|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 4.dat
At the Funeral of a Minor Poet|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 5.dat
Batuschka.|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 6.dat
Act V|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 7.dat
Tennyson|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 8.dat
The Shipman's Tale|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 9.dat
"I Vex Me Not with Brooding on the Years"|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 10.dat
Monody on the Death of Wendell Phillips|||Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 11.dat
Echo-Song||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 12.dat
A Mood||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 13.dat
Guilielmus Rex||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 14.dat
"Pillared Arch and Sculptured Tower"||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 15.dat
Threnody||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 16.dat
Sestet||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 17.dat
A Touch of Nature||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 18.dat
Memory||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 19.dat
"I'll Not Confer with Sorrow"||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 20.dat
A Dedication||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 21.dat
No Songs in Winter||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 22.dat
"Like Crusoe, Walking by the Lonely Strand"||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 23.dat
The Letter||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 24.dat
Sargent's Portrait of Edwin Booth at "The Players"||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 25.dat
Pauline Pavlovna||Interludes|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 26.dat
Corydon: A Pastoral||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 27.dat
At a Reading||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 28.dat
The Menu||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 29.dat
An Elective Course||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 30.dat
L'Eau Dormante||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 31.dat
Thalia||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 32.dat
Palinode||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 33.dat
A Petition||Bagatelle|Thomas Bailey Aldrich ~ Sisters' Tragedy, The ~ 34.dat
