author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift Among the Diamond Makers
Section|3|Fiction/Children
Chapter Count|25
Chapter I - A Suspicious Jeweler|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 1.dat
Chapter II - A Midnight Visit|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 2.dat
Chapter III - A Strange Story|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 3.dat
Chapter IV - Andy Foger Gets a Fright|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 4.dat
Chapter V - A Mysterious Man|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 5.dat
Chapter VI - Mr. Damon is on Hand|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 6.dat
Chapter VII - Mr. Parker Predicts|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 7.dat
Chapter VIII - Off for the West|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 8.dat
Chapter IX - A Warning by Wireless|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 9.dat
Chapter X - Dropping the Stowaway|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 10.dat
Chapter XI - A Weary Search|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 11.dat
Chapter XII -  The Great Stone Head|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 12.dat
Chapter XIII - On Phantom Mountain|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 13.dat
Chapter XIV - Warned Back|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 14.dat
Chapter XV - The Landslide|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 15.dat
Chapter XVI  - The Vast Cavern|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 16.dat
Chapter XVII - The Phantom Captured|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 17.dat
Chapter XVIII - Bill Renshaw Will Help|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 18.dat
Chapter XIX - In the Secret Cave|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 19.dat
Chapter XX - Making the Diamonds|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 20.dat
Chapter XXI - Flashing Gems|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 21.dat
Chapter XXII - Prisoners|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 22.dat
Chapter XXIII - Broken Bonds|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 23.dat
Chapter XXIV - In Great Peril|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 24.dat
Chapter XXV - The Mountain Shattered--Conclusion|||Victor Appleton ~ Tom Swift Among the Diamond Makers ~ 25.dat
