author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Aerial Warship
Section|3|Fiction/Children
Chapter Count|25
Chapter I. Tom is Puzzled|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 1.dat
Chapter II. A Fire Alarm|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 2.dat
Chapter III. A Desperate Battle|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 3.dat
Chapter IV. Suspicions|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 4.dat
Chapter V. A Queer Stranger|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 5.dat
Chapter VI. The Aerial Warship|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 6.dat
Chapter VII. Warnings|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 7.dat
Chapter VIII. A Suspected Plot|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 8.dat
Chapter IX. The Recoil Check|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 9.dat
Chapter X. The New Men|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 10.dat
Chapter XI. A Day Off|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 11.dat
Chapter XII. A Night Alarm|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 12.dat
Chapter XIII. The Capture|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 13.dat
Chapter XIV. The First Flight|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 14.dat
Chapter XV. In Danger|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 15.dat
Chapter XVI. Tom is Worried|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 16.dat
Chapter XVII. An Ocean Flight|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 17.dat
Chapter XVIII. In a Storm|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 18.dat
Chapter XIX. Queer Happenings|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 19.dat
Chapter XX. The Stowaways|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 20.dat
Chapter XXI. Prisoners|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 21.dat
Chapter XXII. Apprehensions|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 22.dat
Chapter XXIII. Across the Sea|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 23.dat
Chapter XXIV. The Lightning Bolt|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 24.dat
Chapter XXV. Freedom|||Victor Appleton ~ Tom Swift And His Aerial Warship ~ 25.dat
