author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Air Glider
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Breakdown|||Victor Appleton ~ Tom Swift And His Air Glider ~ 1.dat
Chapter II. A Daring Project|||Victor Appleton ~ Tom Swift And His Air Glider ~ 2.dat
Chapter III. The Hand of the Czar|||Victor Appleton ~ Tom Swift And His Air Glider ~ 3.dat
Chapter IV. The Search|||Victor Appleton ~ Tom Swift And His Air Glider ~ 4.dat
Chapter V. A Clew from Russia|||Victor Appleton ~ Tom Swift And His Air Glider ~ 5.dat
Chapter VI. Rescuing Mr. Petrofsky|||Victor Appleton ~ Tom Swift And His Air Glider ~ 6.dat
Chapter VII. The Air Glider|||Victor Appleton ~ Tom Swift And His Air Glider ~ 7.dat
Chapter VIII. In a Great Gale|||Victor Appleton ~ Tom Swift And His Air Glider ~ 8.dat
Chapter IX. The Spies|||Victor Appleton ~ Tom Swift And His Air Glider ~ 9.dat
Chapter X. Off in the Airship|||Victor Appleton ~ Tom Swift And His Air Glider ~ 10.dat
Chapter XI. A Storm at Sea|||Victor Appleton ~ Tom Swift And His Air Glider ~ 11.dat
Chapter XII. An Accident|||Victor Appleton ~ Tom Swift And His Air Glider ~ 12.dat
Chapter XIII. Seeking a Quarrel|||Victor Appleton ~ Tom Swift And His Air Glider ~ 13.dat
Chapter XIV. Hurried Flight|||Victor Appleton ~ Tom Swift And His Air Glider ~ 14.dat
Chapter XV. Pursued|||Victor Appleton ~ Tom Swift And His Air Glider ~ 15.dat
Chapter XVI. The Nihilists|||Victor Appleton ~ Tom Swift And His Air Glider ~ 16.dat
Chapter XVII. On to Siberia|||Victor Appleton ~ Tom Swift And His Air Glider ~ 17.dat
Chapter XVIII. In a Russian Prison|||Victor Appleton ~ Tom Swift And His Air Glider ~ 18.dat
Chapter XIX. Lost in a Salt Mine|||Victor Appleton ~ Tom Swift And His Air Glider ~ 19.dat
Chapter XX. The Escape|||Victor Appleton ~ Tom Swift And His Air Glider ~ 20.dat
Chapter XXI. The Rescue|||Victor Appleton ~ Tom Swift And His Air Glider ~ 21.dat
Chapter XXII. In the Hurricane|||Victor Appleton ~ Tom Swift And His Air Glider ~ 22.dat
Chapter XXIII. The Lost Mine|||Victor Appleton ~ Tom Swift And His Air Glider ~ 23.dat
Chapter XXIV. The Leaking Tanks|||Victor Appleton ~ Tom Swift And His Air Glider ~ 24.dat
Chapter XXV. Homeward Bound--Conclusion|||Victor Appleton ~ Tom Swift And His Air Glider ~ 25.dat
