author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Electric Locomotive
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Tempting Offer|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 1.dat
Chapter II. Trouble Starts|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 2.dat
Chapter III. Tom Swift's Friends|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 3.dat
Chapter IV. Much to Think About|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 4.dat
Chapter V. Barbed Wire Entanglements|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 5.dat
Chapter VI. The Contract Signed|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 6.dat
Chapter VII. The Man with Big Feet|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 7.dat
Chapter VIII. An Enemy in the Dark|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 8.dat
Chapter IX. Where was Koku?|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 9.dat
Chapter X. A Strange Conversation|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 10.dat
Chapter XI. Touch and Go|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 11.dat
Chapter XII. The Try-Out Day Arrives|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 12.dat
Chapter XIII. Hopes and Fears|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 13.dat
Chapter XIV. Speed|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 14.dat
Chapter XV. The Enemy Still Active|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 15.dat
Chapter XVI. Off for the West|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 16.dat
Chapter XVII. The Wreck of Forty-Eight|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 17.dat
Chapter XVIII. On the Hendrickton &amp; Pas Alos|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 18.dat
Chapter XIX. Peril, The Mother of Invention|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 19.dat
Chapter XX. The Result|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 20.dat
Chapter XXI. The Open Switch|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 21.dat
Chapter XXII. A Desperate Chase|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 22.dat
Chapter XXIII. Mr. Damon at Bay|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 23.dat
Chapter XXIV. Putting the Enemy to Flight|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 24.dat
Chapter XXV. Speed and Success|||Victor Appleton ~ Tom Swift And His Electric Locomotive ~ 25.dat
