author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Electric Runabout
Section|3|Fiction/Children
Chapter Count|25
Chapter I. Tom Hopes for a Prize|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 1.dat
Chapter II. Mr. Damon's Steering|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 2.dat
Chapter III. The Motorcycle Wins|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 3.dat
Chapter IV. Talk of a New Bank|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 4.dat
Chapter V. A Midnight Encounter|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 5.dat
Chapter VI. Building the Car|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 6.dat
Chapter VII. Tom is Captured|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 7.dat
Chapter VIII. A Blinding Flash|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 8.dat
Chapter IX. Tom is Rescued|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 9.dat
Chapter X. Tom Has a Fall|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 10.dat
Chapter XI. Crossed Wires|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 11.dat
Chapter XII. The Try Out|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 12.dat
Chapter XIII. Towed by a Mule|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 13.dat
Chapter XIV. A Great Run|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 14.dat
Chapter XV. Andy Foger's Black Eye|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 15.dat
Chapter XVI. Trouble at the Bank|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 16.dat
Chapter XVII. A Run on the Bank|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 17.dat
Chapter XVIII. After the Cash|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 18.dat
Chapter XIX. Stopped on the Road|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 19.dat
Chapter XX. On Time|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 20.dat
Chapter XXI. Off to the Big Race|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 21.dat
Chapter XXII. In a Ditch|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 22.dat
Chapter XXIII. The Power Gone|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 23.dat
Chapter XXIV. On the Track|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 24.dat
Chapter XXV. Winning the Prize|||Victor Appleton ~ Tom Swift And His Electric Runabout ~ 25.dat
