author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Giant Cannon
Section|3|Fiction/Children
Chapter Count|25
Chapter I. On a Live Wire|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 1.dat
Chapter II. "We'll Take a Chance!"|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 2.dat
Chapter III. Planning a Big Gun|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 3.dat
Chapter IV. Koku's Brave Act|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 4.dat
Chapter V. Off to Sandy Hook|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 5.dat
Chapter VI. Testing the Waller Gun|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 6.dat
Chapter VII. The Impossible Occurs|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 7.dat
Chapter VIII. A Big Problem|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 8.dat
Chapter IX. The New Powder|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 9.dat
Chapter X. Something Wrong|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 10.dat
Chapter XI. Failure and Success|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 11.dat
Chapter XII. A Powerful Blast|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 12.dat
Chapter XIII. Casting the Cannon|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 13.dat
Chapter XIV. A Night Intruder|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 14.dat
Chapter XV. Ready for the Test|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 15.dat
Chapter XVI. A Warning|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 16.dat
Chapter XVII. The Bursting Dam|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 17.dat
Chapter XVIII. The Doped Powder|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 18.dat
Chapter XIX. Blowing Down the Barrier|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 19.dat
Chapter XX. The Government Accepts|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 20.dat
Chapter XXI. Off for Panama|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 21.dat
Chapter XXII. At Gatun Locks|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 22.dat
Chapter XXIII. News of the Mine|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 23.dat
Chapter XXIV. The Longest Shot|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 24.dat
Chapter XXV. The Long-Lost Mine|||Victor Appleton ~ Tom Swift And His Giant Cannon ~ 25.dat
