author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Motor-Boat
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Motor-Boat Auction|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 1.dat
Chapter II. Some Lively Bidding|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 2.dat
Chapter III. A Timely Warning|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 3.dat
Chapter IV. Tom and Andy Clash|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 4.dat
Chapter V. A Test of Speed|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 5.dat
Chapter VI. Towing Some Girls|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 6.dat
Chapter VII. A Brush with Andy|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 7.dat
Chapter VIII. Off on a Trip|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 8.dat
Chapter IX. Mr. Swift is Alarmed|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 9.dat
Chapter X. A Cry for Help|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 10.dat
Chapter XI. A Quick Run|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 11.dat
Chapter XII. Suspicious Characters|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 12.dat
Chapter XIII. Tom in Danger|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 13.dat
Chapter XIV. The Arrow Disappears|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 14.dat
Chapter XV. A Dismaying Statement|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 15.dat
Chapter XVI. Still on the Search|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 16.dat
Chapter XVII. "There She Is!"|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 17.dat
Chapter XVIII. The Pursuit|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 18.dat
Chapter XIX. A Quiet Cruise|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 19.dat
Chapter XX. News of a Robbery|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 20.dat
Chapter XXI. The Balloon on Fire|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 21.dat
Chapter XXII. The Rescue|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 22.dat
Chapter XXIII. Plans for an Airship|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 23.dat
Chapter XXIV. The Mystery Solved|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 24.dat
Chapter XXV. Winning a Race|||Victor Appleton ~ Tom Swift And His Motor-Boat ~ 25.dat
