author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Photo Telephone
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Man on the Roof|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 1.dat
Chapter II. Bad News|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 2.dat
Chapter III. Tom's Failure|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 3.dat
Chapter IV. Run Down|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 4.dat
Chapter V. Sharp Words|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 5.dat
Chapter VI. A Warning|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 6.dat
Chapter VII. Soft Words|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 7.dat
Chapter VIII. Tom is Baffled|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 8.dat
Chapter IX. A Gleam of Hope|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 9.dat
Chapter X. Midnight Visitors|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 10.dat
Chapter XI. The Airship is Taken|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 11.dat
Chapter XII. A Strange Disappearance|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 12.dat
Chapter XIII. The Telephone Picture|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 13.dat
Chapter XIV. Making Improvements|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 14.dat
Chapter XV. The Airship Clue|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 15.dat
Chapter XVI. Success|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 16.dat
Chapter XVII. The Mysterious Message|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 17.dat
Chapter XVIII. Another Call|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 18.dat
Chapter XIX. The Buzzing Sound|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 19.dat
Chapter XX. Setting the Trap|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 20.dat
Chapter XXI. The Photo Telephone|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 21.dat
Chapter XXII. The Escape|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 22.dat
Chapter XXIII. On the Trail|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 23.dat
Chapter XXIV. The Lonely House|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 24.dat
Chapter XXV. The Airship Capture|||Victor Appleton ~ Tom Swift And His Photo Telephone ~ 25.dat
