author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Sky Racer
Section|3|Fiction/Children
Chapter Count|25
Chapter One. The Prize Offer|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 1.dat
Chapter Two. Mr. Swift is Ill|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 2.dat
Chapter Three. The Plans Disappear|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 3.dat
Chapter Four. Anxious Days|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 4.dat
Chapter Five. Building the Sky Racer|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 5.dat
Chapter Six. Andy Foger Will Contest|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 6.dat
Chapter Seven. Seeking a Clue|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 7.dat
Chapter Eight. The Empty Shed|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 8.dat
Chapter Nine. A Trial Flight|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 9.dat
Chapter Ten. A Midnight Intruder|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 10.dat
Chapter Eleven. Tom Is Hurt|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 11.dat
Chapter Twelve. Miss Nestor Calls|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 12.dat
Chapter Thirteen. A Clash with Andy|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 13.dat
Chapter Fourteen. The Great Test|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 14.dat
Chapter Fifteen. A Noise in the Night|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 15.dat
Chapter Sixteen. A Mysterious Fire|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 16.dat
Chapter Seventeen. Mr. Swift is Worse|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 17.dat
Chapter Eighteen. The Broken Bridge|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 18.dat
Chapter Nineteen. A Nervy Specialist|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 19.dat
Chapter Twenty. Just in Time|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 20.dat
Chapter Twenty-One. "Will He Live?"|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 21.dat
Chapter Twenty-Two. Off to the Meet|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 22.dat
Chapter Twenty-Three. The Great Race|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 23.dat
Chapter Twenty Four. Won by a Length|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 24.dat
Chapter Twenty-Five. Home Again--Conclusion|||Victor Appleton ~ Tom Swift And His Sky Racer ~ 25.dat
