author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Submarine Boat
Section|3|Fiction/Children
Chapter Count|25
Chapter One. News of a Treasure Wreck|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 1.dat
Chapter Two. Finishing the Submarine|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 2.dat
Chapter Three. Mr. Berg is Astonished|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 3.dat
Chapter Four. Tom is Imprisoned|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 4.dat
Chapter Five. Mr. Berg is Suspicious|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 5.dat
Chapter Six. Turning the Tables|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 6.dat
Chapter Seven. Mr. Damon Will Go|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 7.dat
Chapter Eight. Another Treasure Expedition|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 8.dat
Chapter Nine. Captain Weston's Advent|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 9.dat
Chapter Ten. Trial of the Submarine|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 10.dat
Chapter Eleven. On the Ocean Bed|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 11.dat
Chapter Twelve. For a Breath of Air|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 12.dat
Chapter Thirteen. Off for the Treasure|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 13.dat
Chapter Fourteen. In the Diving Suits|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 14.dat
Chapter Fifteen. At the Tropical Island|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 15.dat
Chapter Sixteen. "We'll Race You For It"|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 16.dat
Chapter Seventeen. The Race|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 17.dat
Chapter Eighteen. The Electric Gun|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 18.dat
Chapter Nineteen. Captured|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 19.dat
Chapter Twenty. Doomed to Death|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 20.dat
Chapter Twenty-One. The Escape|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 21.dat
Chapter Twenty-Two. At the Wreck|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 22.dat
Chapter Twenty-Three. Attacked by Sharks|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 23.dat
Chapter Twenty-Four. Ramming the Wreck|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 24.dat
Chapter Twenty-Five. Home With the Gold|||Victor Appleton ~ Tom Swift And His Submarine Boat ~ 25.dat
